Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date,DateTime
people are saying such awful things about brian thompson. don't say his shoes flew off like a cartoon character and his body ragdolled into the wall using video game physics and he did the wilhelm scream even though that probably happened. don't say that,0,0_thompsonâ_donâ_family_killer,"['thompsonâ', 'donâ', 'family', 'killer', 'murderer', 'died', 'children', 'killed', 'œjoyfulâ', 'cheering']","[""You are retarded man. U can't kill people because u don't like their policies. I didn't even know who Brian Thompson was 2 weeks ago. He's a victim of murder and has a family. We aren't going to have a society where people are getting killed for doing their jobs."", 'Disturbing! How does this make anyone feel â€œjoyfulâ€\x9d?\n\nTaylor Lorenz is laughing over Brian Thompsonâ€™s death and says it brings her joy. Piers is having no part of it! Disgusting that anyone would feel this way!', 'Brian Thompson didnâ€™t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say youâ€™re â€œjoyfulâ€\x9d or in any way happy his death happened is disgusting.']",thompsonâ - donâ - family - killer - murderer - died - children - killed - œjoyfulâ - cheering,False,12/5/2024 20:36,12/5/2024 20:36
"Brian Thompson, the UnitedHealthcare CEO fatally shot in NYC, remembered as 'good father'",5,5_died_assassinated_killed_killer,"['died', 'assassinated', 'killed', 'killer', 'fatally', 'tragic', 'death', 'healthcare', 'fatal', 'tragically']","['Tragic news as UnitedHealthcare CEO Brian Thompson, 50, was shot and killed outside the New York Hilton. Authorities are closing in on the suspect, who appeared to target Thompson specifically. Surveillance footage shows the assailant with a backpack before the attack. Justice isâ€¦', 'Brian Thompson, CEO of UnitedHealthcare, was tragically shot and killed this morning outside of a hotel he was staying at in New York City, in what police believe was a targeted attack. Thompson was a father of two.\n\nSenseless gun violence is tearing families apart.\n\nOur heartsâ€¦', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']",died - assassinated - killed - killer - fatally - tragic - death - healthcare - fatal - tragically,False,12/5/2024 20:20,12/5/2024 20:20
"I pray that Elon Musk and Vivek Ramaswamy find a way to defund the CIA and FBI programs that are responsible for the assassination of UnitedHealthcare CEO, Brian Thompson.",6,6_killer_violentcrime_fatally_assassin,"['killer', 'violentcrime', 'fatally', 'assassin', 'gunned', 'slaying', 'corrupt', 'coincidences', 'shooter', 'suspect']","[""ðŸ˜¢ I'm still reeling still reeling from this shocking brazen execution style in broad daylight act against this innocent man the CEO of UnitedHealthcare for God's sake or any human being but this man was targeted and the killer(s) wanted to make it a spectacle like this in broad"", 'The leader of UnitedHealth Group wrote that the health insurance executive gunned down on a Manhattan sidewalk last week cared about consumers and was working to make the system better.', 'The leader of UnitedHealth Group conceded that the patchwork U.S. health system â€œdoes not work as well as it shouldâ€\x9d but said Friday that the insurance executive gunned down on a Manhattan sidewalk cared about customers and was working to make it better.']",killer - violentcrime - fatally - assassin - gunned - slaying - corrupt - coincidences - shooter - suspect,False,12/5/2024 19:47,12/5/2024 19:47
I guess little fella didn't learn. He constantly demonizes CEOs. Brian Thompson CEO of United Healthcare was MURDERED yesterday in NYC. Instead of giving it a rest little fella doubles down on disparaging another CEO. Looks like litter fella won't stop until all CEOs are murdered,4,4_unitedhealth_healthcare_unitedhealthceo_ceos,"['unitedhealth', 'healthcare', 'unitedhealthceo', 'ceos', 'brianthompsonassassination', 'died', 'insurance', 'ceoâ', 'innocent', 'steven']","['Friday night Tequila Tweet:\n\n1. Fuck anyone cheering the killing of the UnitedHealthcare CEO.\n\n2. Fuck anyone this week who said transgender Americans should be â€œerased.â€\x9d\n\n3. Fuck Syrian President Bashar al-Assad.\n\n4. Fuck anyone who says the men & women of the FBI are our enemy.', 'Unhinged leftist says the UnitedHealthcare CEO was a billionaire who was responsible for the de*ths of millions so you shouldnâ€™t feel bad for his family.\n\nSo now even innocent family members deserve to suffer?\n\nThis woman is deranged. Couldnâ€™t tell by the glasses and nose ring.', 'Someone sent me a TikTok with music (Dead or Alive-BonJovi) celebrating the United CEOâ€™s death. I just feel itâ€™s distasteful. Especially seeing the thousands limes. #TikTok #SocialMedia #UnitedHealthcare #unitedhealthcareceo #unitedhealthceo #ImEvilEdwinðŸ‡ºðŸ‡¸']",unitedhealth - healthcare - unitedhealthceo - ceos - brianthompsonassassination - died - insurance - ceoâ - innocent - steven,False,12/5/2024 19:36,12/5/2024 19:36
Iâ€™m done engaging with anyone who condones the murder of Brian Thompson. You are the lowest of the low if you are gleeful that a man lost his life today because you donâ€™t like the industry he headed.,0,0_thompsonâ_donâ_family_killer,"['thompsonâ', 'donâ', 'family', 'killer', 'murderer', 'died', 'children', 'killed', 'œjoyfulâ', 'cheering']","[""You are retarded man. U can't kill people because u don't like their policies. I didn't even know who Brian Thompson was 2 weeks ago. He's a victim of murder and has a family. We aren't going to have a society where people are getting killed for doing their jobs."", 'Disturbing! How does this make anyone feel â€œjoyfulâ€\x9d?\n\nTaylor Lorenz is laughing over Brian Thompsonâ€™s death and says it brings her joy. Piers is having no part of it! Disgusting that anyone would feel this way!', 'Brian Thompson didnâ€™t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say youâ€™re â€œjoyfulâ€\x9d or in any way happy his death happened is disgusting.']",thompsonâ - donâ - family - killer - murderer - died - children - killed - œjoyfulâ - cheering,False,12/5/2024 19:27,12/5/2024 19:27
"Itâ€™s a sick world we live in when the internet cheers when someone is murdered in cold blood. 

The CEO of UnitedHealthcare had a family. He was a husband and father. 

Have we lost our humanity? I sure hope not.",4,4_unitedhealth_healthcare_unitedhealthceo_ceos,"['unitedhealth', 'healthcare', 'unitedhealthceo', 'ceos', 'brianthompsonassassination', 'died', 'insurance', 'ceoâ', 'innocent', 'steven']","['Friday night Tequila Tweet:\n\n1. Fuck anyone cheering the killing of the UnitedHealthcare CEO.\n\n2. Fuck anyone this week who said transgender Americans should be â€œerased.â€\x9d\n\n3. Fuck Syrian President Bashar al-Assad.\n\n4. Fuck anyone who says the men & women of the FBI are our enemy.', 'Unhinged leftist says the UnitedHealthcare CEO was a billionaire who was responsible for the de*ths of millions so you shouldnâ€™t feel bad for his family.\n\nSo now even innocent family members deserve to suffer?\n\nThis woman is deranged. Couldnâ€™t tell by the glasses and nose ring.', 'Someone sent me a TikTok with music (Dead or Alive-BonJovi) celebrating the United CEOâ€™s death. I just feel itâ€™s distasteful. Especially seeing the thousands limes. #TikTok #SocialMedia #UnitedHealthcare #unitedhealthcareceo #unitedhealthceo #ImEvilEdwinðŸ‡ºðŸ‡¸']",unitedhealth - healthcare - unitedhealthceo - ceos - brianthompsonassassination - died - insurance - ceoâ - innocent - steven,False,12/5/2024 19:04,12/5/2024 19:04
"#KitCabello #UnitedHealthcareCEO #BrianThompson #Assassination 
Please support and follow  

12/5/24 Hard Lens Media: Brian Thompsonâ€™s Ex-Security Surprised UnitedHealthcare CEO Was Unguarded
ðŸ‘‡ðŸ‘‡ðŸ‘‡",2,2_brianthompson_justice_john_thompsonâ,"['brianthompson', 'justice', 'john', 'thompsonâ', 'unitedhealthcareceo', 'condolences', 'tragic', 'tragedy', 'executive', 'brianâ']","['UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the groupâ€™s insurance arm, UnitedHealthcare, following Thompsonâ€™s death at the hands of a gunman.', ""UnitedHealth Group $UNH is navigating challenges following the tragic loss of UnitedHealthcare CEO Brian Thompson. CEO Andrew Witty acknowledges the healthcare system's flaws and emphasizes the company's commitment to improvements."", 'ðŸš¨ðŸ‡ºðŸ‡¸ NEW UHC CEO PRAISES MURDERED CEO AS A â€œHEALTHCARE LEGENDâ€\x9d\n\nIn a leaked pep talk to staff, UnitedHealth Group CEO Andrew Witty praised slain CEO Brian Thompson as a titan of healthcare, claiming he had one of the â€œbiggest effectsâ€\x9d on the industryâ€”despite ongoing accusationsâ€¦']",brianthompson - justice - john - thompsonâ - unitedhealthcareceo - condolences - tragic - tragedy - executive - brianâ,False,12/5/2024 18:24,12/5/2024 18:24
Need him even more now,7,7_brianthompsom_posthumously_family_rip,"['brianthompsom', 'posthumously', 'family', 'rip', 'folks', 'justice', 'ripbozo', 'damning', 'forgotten', 'case']","['Justice for Brian Thompson.', 'The unsealing of todayâ€™s indictment brings us one step closer to securing justice for Brian Thompson and his family.\n\nI want to thank every member of the NYPD and the  Office for their partnership in bringing this case forward and their cooperation in our publicâ€¦', ""We are still looking forward for justice for $DOJA\n\nLet's not forget that our fellow human life also matter.\nIt saddens me to hear about $BRIAN\n\nCa: EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump\n\nLet's get justice for $BRIAN THOMPSON""]",brianthompsom - posthumously - family - rip - folks - justice - ripbozo - damning - forgotten - case,False,12/5/2024 18:21,12/5/2024 18:21
"This cowardly POS has a distinctive beak of a nose that he canâ€™t hide from ! Praying they catch him !
Brian Thompson Shooting: Police Reportedly Find Words Written on Bullet Casings",11,11_died_killer_insurance_death,"['died', 'killer', 'insurance', 'death', 'slain', 'assassin', 'health', 'bullets', 'agencies', 'gunned']","[""NYC should pay damages to the family of Brian Thompson. Criminals there are emboldened by unarmed citizens. The assassin could have just waited outside Brian Thompson's home in Minnesota EXCEPT lot's of Minnesotans carry a gun. But no one returns fire in New York City."", ""It's sad to see that UHC CEO Brian Thompson was shot to death today. It's unthinkable. \n\nWhat's worse is that in today's NYC, if he had been able to take down the assassin and chokehold him until police arrived, he'd eventually be facing an unfair trial like Daniel Penny."", 'Creepy! ðŸ˜³ðŸ˜³ðŸ˜³ðŸ’¥ðŸ’¥ðŸ’¥ðŸ’¥ðŸ’¥ðŸ’¥ðŸ’¥\nA video of the (assassinated) CEO, Brian Thompson, resurfaced! In this clip, he said what his intentions were! Nuts! ðŸ’™ðŸ’™ðŸ’™ðŸ’™']",died - killer - insurance - death - slain - assassin - health - bullets - agencies - gunned,False,12/5/2024 17:02,12/5/2024 17:02
"The number of Minnesota DFL supporters on my feed that are laughing, happy or otherwise supportive of the assassination of fellow Minnesotan Brian Thompson is disturbing. This is terrorist level extremism. Get what you want by terrorizing and glorifying violence.",0,0_thompsonâ_donâ_family_killer,"['thompsonâ', 'donâ', 'family', 'killer', 'murderer', 'died', 'children', 'killed', 'œjoyfulâ', 'cheering']","[""You are retarded man. U can't kill people because u don't like their policies. I didn't even know who Brian Thompson was 2 weeks ago. He's a victim of murder and has a family. We aren't going to have a society where people are getting killed for doing their jobs."", 'Disturbing! How does this make anyone feel â€œjoyfulâ€\x9d?\n\nTaylor Lorenz is laughing over Brian Thompsonâ€™s death and says it brings her joy. Piers is having no part of it! Disgusting that anyone would feel this way!', 'Brian Thompson didnâ€™t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say youâ€™re â€œjoyfulâ€\x9d or in any way happy his death happened is disgusting.']",thompsonâ - donâ - family - killer - murderer - died - children - killed - œjoyfulâ - cheering,False,12/5/2024 17:01,12/5/2024 17:01
