Topic,Count,Name,Representation,Representative_Docs
0,129,0_thompsonâ_donâ_family_killer,"['thompsonâ', 'donâ', 'family', 'killer', 'everyone', 'murderer', 'died', 'jesus', 'children', 'kids']","['Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?', 'Brian Thompson didnâ€™t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say youâ€™re â€œjoyfulâ€\x9d or in any way happy his death happened is disgusting.', ""You are retarded man. U can't kill people because u don't like their policies. I didn't even know who Brian Thompson was 2 weeks ago. He's a victim of murder and has a family. We aren't going to have a society where people are getting killed for doing their jobs.""]"
1,99,1_luigiâ_luigimangione_murderer_killer,"['luigiâ', 'luigimangione', 'murderer', 'killer', 'hero', 'mangioni', 'mangioneâ', 'innocent', 'murdering', 'killed']","[""Luigi Mangioneâ€™s family has released a statement:\n\nâ€œWe only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.â€\x9d"", 'NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigiâ€™s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""'Our family is shocked and devastated by Luigiâ€™s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved,' the family said.""]"
2,98,2_murderer_thompsonâ_condolences_tragic,"['murderer', 'thompsonâ', 'condolences', 'tragic', 'tragedy', 'daniel', 'care', 'killed', 'man', 'shooter']","['Brian Thompson was a human being who came up from a small farm town and made it all the way up to CEO of a healthcare company. He wasnâ€™t even the founder, he had a wife and children, just because you donâ€™t like the healthcare industry does not mean an innocent man had to die.', 'Prayers for Brian Thompsonâ€™s family. This is such a tragedy. Iâ€™m only speculating but would not be surprised for us to find out the shooter lost a loved one over denied coverage by #UNITEDHEATHCARE \n\nVery sad day. ðŸ™\x8fðŸ™\x8fðŸ™\x8f', 'Itâ€™s disgusting to see people in the replies justifying a shooting because the victim was a CEO of an insurance company.\n\nHeâ€™s still a person. \nA wife still lost her husband. \nKids without a father (if he has kids, I donâ€™t know)\n\nBe better.']"
3,92,3_unitedhealth_thompsonâ_insurance_unitedhealthcareceo,"['unitedhealth', 'thompsonâ', 'insurance', 'unitedhealthcareceo', 'healthcare', 'assassinated', 'brianthompson', 'killer', 'executive', 'condolences']","['ðŸš¨ðŸ‡ºðŸ‡¸ NEW UHC CEO PRAISES MURDERED CEO AS A â€œHEALTHCARE LEGENDâ€\x9d\n\nIn a leaked pep talk to staff, UnitedHealth Group CEO Andrew Witty praised slain CEO Brian Thompson as a titan of healthcare, claiming he had one of the â€œbiggest effectsâ€\x9d on the industryâ€”despite ongoing accusationsâ€¦', ""Heartbreaking news: UnitedHealth Group CEO Brian Thompson has tragically passed away. ðŸš¨ðŸ’” Let's hope for justice. #UnitedHealth #Leadership\n Read more:"", 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']"
4,62,4_unitedhealth_healthcare_ceos_executive,"['unitedhealth', 'healthcare', 'ceos', 'executive', 'killed', 'senator', 'insurance', 'ceoâ', 'health', 'corrupt']","['The leader of UnitedHealth Group wrote that the health insurance executive gunned down on a Manhattan sidewalk last week cared about consumers and was working to make the system better.', 'Charlamagne tha God slammed people celebrating the cold-blooded assassination of UnitedHealthcare CEO Brian Thompson â€” and delivered a reality check about its larger meaning.\n\nâ€œI donâ€™t understand why people are celebrating him being killed,â€\x9d the radio host said Friday on his showâ€¦', 'The leader of UnitedHealth Group conceded that the patchwork U.S. health system â€œdoes not work as well as it shouldâ€\x9d but said Friday that the insurance executive gunned down on a Manhattan sidewalk cared about customers and was working to make it better.']"
