Topic,Count,Name,Representation,Representative_Docs
0,22,0_istandwithunitedhealthcare_ceos_health_care,"['istandwithunitedhealthcare', 'ceos', 'health', 'care', 'insurance', 'capitalist', 'leader', 'murdering', 'capitalism', 'killed']","[""I just want to thank Luigi Mangione for helping my husband take care of me the day after my cataract surgery. He was helping my husband do chores around the house on 12/04/24 while I was sleeping off the anesthesia. Such a kind soul who'd never do anything wrong."", 'Luigi grew up in privilege, was never even a customer of UHC, apparently did get treatment for his back.\n\nBrian Thompson grew up middle class and made his own way.\n\nLiberals are cheering on a coddled rich kid who murdered a good guy who worked for everything he had.', ""🖕 Luigi and his family, he's a cowardly murderer who murdered an upper class man in cold blood in broad daylight, as for denying claims, I don't care, if your insurance company sucks go somewhere else instead of murdering the upper class""]"
1,18,1_compassionate_unitedhealth_healthcare_assassin,"['compassionate', 'unitedhealth', 'healthcare', 'assassin', 'depose', 'hospitals', 'folks', 'medicare', 'treatment', 'alike']","['Gear up like an assassin, but this time with healthcare on your side. 🗡️💊 Show off your stealthy style with the Assassin’s Creed UnitedHealthcare! Perfect for gamers and healthcare warriors alike. 🖤 Grab yours now! 👉', 'UnitedHealthcare (UHC) offers a food benefit that provides a monthly credit to help pay for healthy food and over-the-counter (OTC) products. The credit is loaded onto a UCard, which can be used at participating stores or online.', 'Got a new job and I get benefits imma make this money then use those benefits to have the surgery on my knees that I’ve needed for years 😭 been walking around with a torn LCL, ACL, meniscus, patellar tendon, and broken foot for 2 years I’m so happy rn ily Luigi.']"
2,17,2_healthcare_claim_executive_said,"['healthcare', 'claim', 'executive', 'said', 'compassion', 'liberated', 'elites', 'killer', 'wealth', 'heartless']","['Brian Thompson was a chad actual middle class dude who earned generational wealth wealth for his wife and kids. Can’t say the same for the socialists celebrating his death who might lose their healthcare and will see their precious Gaza turn to rubble', 'Anyone, and I mean anyone celebrating the tragic end of Brian Thompson is a hypocrite, a cancer on society, or both. Yes, they need prayer, although they probably also need the kind of corrective discipline their parents likely were too liberated to afford them the benefit of…', 'The idea that Brian Thompson deserved to die because he was a rich healthcare executive appears to be...a disturbingly popular sentiment. You cannot claim to be the movement of compassion & tolerance while gleefully celebrating a dad of two getting shot to death. So vile.']"
3,17,3_healthcare_ceos_greed_lobbied,"['healthcare', 'ceos', 'greed', 'lobbied', 'corporate', 'companies', 'sympathy', 'health', 'died', 'medical']","['Brian Thompson was one of the many CEOs of the departments below you have to understand that. the media never looks into anything and they deliberately on purpose lie to you. the CEO of United healthcare was knighted by Queen Elizabeth!!!', 'Ron, you gotta check yourself. Tweeting all this anti-Brian Thompson/United Healthcare stuff right now appears to justify his killing. I get being anti-corporate greed but justifying the murder of a CEO (esp. without knowing nothing about him) is plain wrong', ""I guess little fella didn't learn. He constantly demonizes CEOs. Brian Thompson CEO of United Healthcare was MURDERED yesterday in NYC. Instead of giving it a rest little fella doubles down on disparaging another CEO. Looks like litter fella won't stop until all CEOs are murdered""]"
4,12,4_obamacare_insurance_demise_disaster,"['obamacare', 'insurance', 'demise', 'disaster', 'empathy', 'reporter', 'union', 'insane', 'tears', 'justification']","['OMG. Former NYT “reporter” Taylor Lorenz doubles down on gloating over the m*rder of the UnitedHealthcare CEO:\n\n“Am I going to shed tears or have empathy for somebody who has facilitated the deaths of thousands of innocent Americans?"" \n\nWhat a psycho.', 'It’s atrocious that anyone is defending the murder of the UnitedHealthcare CEO as some kind of blow against private health insurance. Government-designed insurance under Obamacare has been a disaster—higher costs for worse outcomes and less access to care.', 'Chris Murphy…. “I’m never going to condone gun violence”…. Then goes on to basically justify the murder of the UnitedHealthCare CEO. \n\nHe also seems to forget that the insurance industry is heavily regulated in all they do due to the ObamaCare act which he voted for.']"
5,7,5_healthcare_care_celebrating_supporting,"['healthcare', 'care', 'celebrating', 'supporting', 'today', 'sad', 'cheered', 'brother', 'death', 'victims']","['Obviously, there\'s a ton we do not know about the Unitedhealthcare (alleged) shooter.\n\nWhat we do know already: all those progressives who cheered it and hoped - yes, hoped - it would be a ""justified"" killing, a denied care tit-for-tat, have humiliated themselves yet again.', ""ABSOLUTELY DISGUSTING!\n\nFirst we had people publicly supporting Luigi Mangione, who brutally executed United Healthcare CEO Brian Thompson. NOW we have people making mock videos of the murder, as if the death is somehow funny. This was someone's father, brother, friend. And yet…"", 'DISGUSTING: Fat left activists are posting videos celebrating the killing of United Healthcare CEO Brian Thompson and describing the murderer as a “hero.”\n\nThese same freaks are the ones who say genocide when countries go after terrorists.']"
6,5,6_unitedhealthcareceo_healthcare_let_leadership,"['unitedhealthcareceo', 'healthcare', 'let', 'leadership', 'insights', 'safe', 'americanway', '', '', '']","['Discover the latest insights about UnitedHealthcare and its CEO Brian Thompson. Learn how his leadership is transforming the healthcare landscape.', 'Funny to come across my old tweet to #UnitedHealthcare - and former CEO Andrew Witty.. and the tweet got results', '7/ The American Dream is real. It lived in Brian Thompson. Let’s honor his legacy by living up to the values he embodied. #UnitedHealthcare #unitedhealthcareceo #AmericanDad #AmericanWay #americafirst #America']"
7,3,7_fucking_healthcare_gooooo_commies,"['fucking', 'healthcare', 'gooooo', 'commies', 'often', '', '', '', '', '']","['Lets do this more often', 'LETS FUCKING GOOOOO', 'United Healthcare should pony up. It would help them with normal people AND troll the commies that think Luigi is Robin Hood.']"
