Topic,Count,Name,Representation,Representative_Docs
0,101,0_family_killer_sister_healthcare,"['family', 'killer', 'sister', 'healthcare', 'murderer', 'rich', 'wealthy', 'prayers', 'murdering', 'kids']","['NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", ""Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved,' the family said.""]"
1,97,1_brianthompson_killed_gunman_assassinated,"['brianthompson', 'killed', 'gunman', 'assassinated', 'fatally', 'died', 'tragedy', 'targeted', 'fatal', 'tragic']","['Brian Thompson, CEO of UnitedHealthcare, was tragically shot and killed this morning outside of a hotel he was staying at in New York City, in what police believe was a targeted attack. Thompson was a father of two.\n\nSenseless gun violence is tearing families apart.\n\nOur hearts…', ""This is the first released image showing the smiling suspect in the tragic shooting of UnitedHealthcare CEO Brian Thompson. The esteemed leader and visionary tragically lost his life in New York City yesterday. The 50-year-old's untimely passing occurred outside the New York…"", 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']"
2,95,2_murderer_justice_killer_hero,"['murderer', 'justice', 'killer', 'hero', 'died', 'innocent', 'traitor', 'killed', 'man', 'victim']","['Brian Thompson didn’t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say you’re “joyful” or in any way happy his death happened is disgusting.', 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?', ""You are retarded man. U can't kill people because u don't like their policies. I didn't even know who Brian Thompson was 2 weeks ago. He's a victim of murder and has a family. We aren't going to have a society where people are getting killed for doing their jobs.""]"
3,57,3_unitedhealth_insurance_healthcare_ceos,"['unitedhealth', 'insurance', 'healthcare', 'ceos', 'executive', 'sympathy', 'killed', 'corrupt', 'health', 'shot']","['Former Washington Post reporter Taylor Lorenz expressed ""joy"" over the killing of UnitedHealthcare CEO Brian Thompson, sparking outrage. Celebrating tragedy is a bold choice—especially when it leaves two kids without a dad. Let’s hope we can find empathy…', 'The leader of UnitedHealth Group wrote that the health insurance executive gunned down on a Manhattan sidewalk last week cared about consumers and was working to make the system better.', 'The leader of UnitedHealth Group conceded that the patchwork U.S. health system “does not work as well as it should” but said Friday that the insurance executive gunned down on a Manhattan sidewalk cared about customers and was working to make it better.']"
4,53,4_murderer_healthcare_brianthompson_senator,"['murderer', 'healthcare', 'brianthompson', 'senator', 'killed', 'insurer', 'insurance', 'condolences', 'death', 'health']","['It’s disgusting to see people in the replies justifying a shooting because the victim was a CEO of an insurance company.\n\nHe’s still a person. \nA wife still lost her husband. \nKids without a father (if he has kids, I don’t know)\n\nBe better.', 'Amen! It’s sickening to see people glorifying the cold-blooded killing of Brian Thompson—a man who embodied the American dream. If you’re upset with the healthcare system, work to change it. Stop celebrating a madman.', ""I feel sorry for Brian Thompson and his family. I never condone violence, especially a cold-blooded murder.\n\nThat said, these billion dollar, often greedy, insurance companies impact a lot of people's lives in a deeply personal way.\n\nThey make it their mission to deny as many…""]"
5,47,5_killer_unitedheathcare_tragic_brianthompsom,"['killer', 'unitedheathcare', 'tragic', 'brianthompsom', 'rip', 'horrific', 'sad', 'justice', 'everyone', 'news']","['The unsealing of today’s indictment brings us one step closer to securing justice for Brian Thompson and his family.\n\nI want to thank every member of the NYPD and the  Office for their partnership in bringing this case forward and their cooperation in our public…', 'I Am Praying that this Cold Blooded Killer will be caught & Justice will be served. I am Praying for Brian Thompson’s \nFamily & Friends. 🙏🥲', 'Prayers for Brian Thompson’s family. This is such a tragedy. I’m only speculating but would not be surprised for us to find out the shooter lost a loved one over denied coverage by #UNITEDHEATHCARE \n\nVery sad day. 🙏🙏🙏']"
6,30,6_sympathy_condolences_killed_ceos,"['sympathy', 'condolences', 'killed', 'ceos', 'death', 'contributed', 'exact', 'harris', 'predatory', 'bs']","[""Brian Thompson came from a working class family & grew his way into the upper class by running a company legally operating in an over regulated industry\n\nHe was killed by a trust fund baby from the top 1% who's family could have paid out of pocket for any necessary medical care"", 'Brian Thompson was from a small town in Iowa of 1200 people and graduated with a BS Biz & Accounting degree from the U of Iowa. He literally just worked his way up the corporate ladder. He lived in a mostly middle class suburb and his kids go to a public school.', 'I asked GROK to tell me about the background of assassinated UHC CEO Brian Thompson. He came from a working/middle class background, grew up in an Iowa town with a population of 1,216 as of 2020. HS valedictorian, 1993. Went to the University of Iowa. \n\nVery different from the…']"
