Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date,DateTime
"Brian Thompson got rich at the helm of the company that denied more healthcare claims than most other major insurance providers, at a denial rate twice the industry average.
I am not surprised that stuff like this happens. If anything, I'm surprised it doesn't happen more often.",2,2_unitedhealth_healthcare_ceos_medical,"['unitedhealth', 'healthcare', 'ceos', 'medical', 'health', 'executives', 'patients', 'insider', 'lawsuit', 'care']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']",unitedhealth - healthcare - ceos - medical - health - executives - patients - insider - lawsuit - care,False,12/4/2024 17:42,12/4/2024 17:42
"CEO of United Health Care Brian Thompson was killed this morning in New York.

I had a buddy who got their required surgery declined due to „pre-existing condition“ a few years back and changed insurance therafter.

I wonder if the motive might have been a person who got into…",2,2_unitedhealth_healthcare_ceos_medical,"['unitedhealth', 'healthcare', 'ceos', 'medical', 'health', 'executives', 'patients', 'insider', 'lawsuit', 'care']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']",unitedhealth - healthcare - ceos - medical - health - executives - patients - insider - lawsuit - care,False,12/4/2024 17:37,12/4/2024 17:37
Brian Thompson was paid millions of dollars a year to perpetuate a corrupt system that kills and bankrupts people for profit. He along with the elected officials in both capitalist parties who stand in the way of a nationalized healthcare system are monsters.,4,4_get_died_deserved_die,"['get', 'died', 'deserved', 'die', 'goes', 'killed', 'hero', 'man', 'got', 'put']","['Yes, Brian Thompson was a human being with a family.\n\nHe was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year.\n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Yes, Brian Thompson was a human being with a family. He was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year. \n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Brian Thompson had the blood of thousands of people just like this poor person’s family on his hands. he was just as much a killer as the man who shot him, he did it from behind a desk without ever having to face the people whose lives he was ending.']",get - died - deserved - die - goes - killed - hero - man - got - put,False,12/4/2024 17:32,12/4/2024 17:32
UnitedHealthcare CEO Fatally Shot at NY Hotel |  ~ Makes you wonder how many times the killers claims were denied?,6,6_brianthompson_executives_nypd_corporate,"['brianthompson', 'executives', 'nypd', 'corporate', 'bill', 'company', 'ceos', 'care', 'right', 'social']","['Taylor Lorenz defends United Healthcare CEO Brian Thompson’s murder in sickening post: ‘People wonder why we want these executives dead’', ""Taylor Lorenz slams health insurance industry, says it's no 'wonder why we want these executives dead' after UnitedHealthcare CEO murder"", 'Taylor Lorenz slams health insurance industry, says it\'s no ""wonder why we want these executives dead"" after UnitedHealthcare CEO murder']",brianthompson - executives - nypd - corporate - bill - company - ceos - care - right - social,False,12/4/2024 17:28,12/4/2024 17:28
"We mourn the loss of the millions of people who have died because they couldn’t afford medical treatment due to a parasitic, spineless for-profit healthcare system propagated by people like Brian Thompson.",2,2_unitedhealth_healthcare_ceos_medical,"['unitedhealth', 'healthcare', 'ceos', 'medical', 'health', 'executives', 'patients', 'insider', 'lawsuit', 'care']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']",unitedhealth - healthcare - ceos - medical - health - executives - patients - insider - lawsuit - care,False,12/4/2024 17:27,12/4/2024 17:27
"Something like this shouldn't happen.

Unfortunately, we live in a tragedy where a health insurance company is ranked 5th in the Fortune 500.

The more profits are prioritized over healthcare, the more desperate people will become and more events like this will occur.",1,1_care_said_much_patient,"['care', 'said', 'much', 'patient', 'plan', 'million', 'doctors', 'critical', 'pay', 'accused']","['Lawsuit Filed Before Killing of UnitedHealthcare CEO Accused Insurance Giant of Using Faulty AI Tool to Deny Claims Approved by Doctors #Insurancepremiums #Insurance #Healthcare', ""Insurance companies make profits from denying to help people. UnitedHealthcare Group had a 32% claim denial rate in 2023, they've done more than just ruin people's lives, they've killed people. I don't think people who do OF kill thousands of people per year."", 'Denied by AI: How Medicare Advantage plans use algorithms to cut off care for seniors in need …Brian Thompson was the CEO of United Health Care …']",care - said - much - patient - plan - million - doctors - critical - pay - accused,False,12/4/2024 17:27,12/4/2024 17:27
Upset about losing a donor? Not upset about all the lives he ruined though.,2,2_unitedhealth_healthcare_ceos_medical,"['unitedhealth', 'healthcare', 'ceos', 'medical', 'health', 'executives', 'patients', 'insider', 'lawsuit', 'care']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']",unitedhealth - healthcare - ceos - medical - health - executives - patients - insider - lawsuit - care,False,12/4/2024 17:26,12/4/2024 17:26
I’m not the most religious person but I don’t think UnitedHealthcare CEO Brian Thompson is going to heaven,2,2_unitedhealth_healthcare_ceos_medical,"['unitedhealth', 'healthcare', 'ceos', 'medical', 'health', 'executives', 'patients', 'insider', 'lawsuit', 'care']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']",unitedhealth - healthcare - ceos - medical - health - executives - patients - insider - lawsuit - care,False,12/4/2024 17:24,12/4/2024 17:24
"I wonder if he died because they couldn’t do a catscan until after they did an x-ray first since insurance wouldn’t pay for it.

UnitedHealthcare CEO fatally shot in ‘brazen, targeted attack’ outside hotel, police say",6,6_brianthompson_executives_nypd_corporate,"['brianthompson', 'executives', 'nypd', 'corporate', 'bill', 'company', 'ceos', 'care', 'right', 'social']","['Taylor Lorenz defends United Healthcare CEO Brian Thompson’s murder in sickening post: ‘People wonder why we want these executives dead’', ""Taylor Lorenz slams health insurance industry, says it's no 'wonder why we want these executives dead' after UnitedHealthcare CEO murder"", 'Taylor Lorenz slams health insurance industry, says it\'s no ""wonder why we want these executives dead"" after UnitedHealthcare CEO murder']",brianthompson - executives - nypd - corporate - bill - company - ceos - care - right - social,False,12/4/2024 17:24,12/4/2024 17:24
"Tried to say I have empathy for Brian Thompson, but my claim was denied.",4,4_get_died_deserved_die,"['get', 'died', 'deserved', 'die', 'goes', 'killed', 'hero', 'man', 'got', 'put']","['Yes, Brian Thompson was a human being with a family.\n\nHe was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year.\n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Yes, Brian Thompson was a human being with a family. He was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year. \n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Brian Thompson had the blood of thousands of people just like this poor person’s family on his hands. he was just as much a killer as the man who shot him, he did it from behind a desk without ever having to face the people whose lives he was ending.']",get - died - deserved - die - goes - killed - hero - man - got - put,False,12/4/2024 17:24,12/4/2024 17:24
"Sorry but Brian Thompson’s murder took place out of network, so I’m gonna have to deny your claim for me giving a fuck",4,4_get_died_deserved_die,"['get', 'died', 'deserved', 'die', 'goes', 'killed', 'hero', 'man', 'got', 'put']","['Yes, Brian Thompson was a human being with a family.\n\nHe was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year.\n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Yes, Brian Thompson was a human being with a family. He was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year. \n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Brian Thompson had the blood of thousands of people just like this poor person’s family on his hands. he was just as much a killer as the man who shot him, he did it from behind a desk without ever having to face the people whose lives he was ending.']",get - died - deserved - die - goes - killed - hero - man - got - put,False,12/4/2024 17:17,12/4/2024 17:17
UnitedHealthcare CEO Brian Thompson killed in ‘targeted attack’; gunman at large: Live updates - The Washington Post Sad but probably shot by someone denied healthcare or a family member denied healthcare.,2,2_unitedhealth_healthcare_ceos_medical,"['unitedhealth', 'healthcare', 'ceos', 'medical', 'health', 'executives', 'patients', 'insider', 'lawsuit', 'care']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']",unitedhealth - healthcare - ceos - medical - health - executives - patients - insider - lawsuit - care,False,12/4/2024 17:10,12/4/2024 17:10
