Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date
If you’re profiting off the death of Brian Thompson I question your morals,0,0_killer_murders_murderer_hope,"['killer', 'murders', 'murderer', 'hope', 'family', 'died', 'children', 'thousands', 'guy', 'victim']","['Brian Thompson didn’t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say you’re “joyful” or in any way happy his death happened is disgusting.', 'Disturbing!  How does this make anyone feel “joyful”?\r\n\r\nTaylor Lorenz is laughing over Brian Thompson’s death and says it brings her joy.  Piers is having no part of it! Disgusting that anyone would feel this way!', 'There is absolutely no justification for anyone to feel JOY over the assassination of Brian Thompson. Taylor Lorenz should be ashamed of herself. She really needs a good rest to think about why she felt that feeling about someone who died, or to celebrate the assassination! ###']",killer - murders - murderer - hope - family - died - children - thousands - guy - victim,False,12/9/2024 20:40
"He took action against greedy health insurance is what he did. He was a brave italian working class vigilante. And in this house, Luigi Mangione is a hero. End of story.",14,14_insurance_murderer_ceos_executive,"['insurance', 'murderer', 'ceos', 'executive', 'killed', 'murdering', 'health', 'dead', 'shareholders', 'life']","['he took action against private health insurance corporations is what he did. he was a brave italian martyr. in this house, luigi mangione is a hero, end of story!', 'He took action against greedy health insurance is what he did. He was a brave italian working class vigilante. And in this house, Luigi Mangione is a hero. End of story.', 'Murder victim,  Father of 2 no privilege grew up as son of working class grain operator, went to Iowa college worked way up to ceo position. His murderer, Luigi Mangioni is wealthy & privileged $40k per yr in 6-12th grade private school. Ivy league college degrees. no job $12k💼']",insurance - murderer - ceos - executive - killed - murdering - health - dead - shareholders - life,True,12/9/2024 20:32
"I’m not defending an insurance company. I’m defending a man who had a family, and just happened to have a job at the insurance company the murderer targeted. 🙄 

He did not deserve to be murdered on the streets of New York for Luigi Mangione’s ideals. 

And I most certainly do…",15,15_innocent_killed_assassinating_warren,"['innocent', 'killed', 'assassinating', 'warren', 'condolences', 'brianthompson', 'kill', 'hearted', 'executed', 'shot']","['Chris Rock spoke on Luigi Mangione during his SNL monologue\r\n\r\n“He actually k*lled a man with a family, with kids. I have real condolences for the Healthcare CEO. This is a real person… but sometimes drug dealers get shot”', '“[Luigi Mangione] killed a man with a family, with kids. I have real condolences for the healthcare CEO. This is a real person…But sometimes drug dealers get shot.”\r\n\r\n— Chris Rock on the UnitedHealthcare CEO assassination', 'Chris Rock: [Luigi Mangione] killed a man with a family, with kids. I have real condolences for the (United)Healthcare CEO. This is a real person… But… you know, sometimes drug dealers get shot.']",innocent - killed - assassinating - warren - condolences - brianthompson - kill - hearted - executed - shot,False,12/9/2024 20:27
"On one hand the shooter is vaguely adjacent to my oomfies, on the other hand I believe Brian Thompson was a good man... 

Dual loyalty is so difficult.",7,7_shooter_alive_experts_cliffe,"['shooter', 'alive', 'experts', 'cliffe', 'hero', 'aka', 'podz', 'fuck', 'hunter', 'fate']","['Congratulations to the latest winners of our dog and bitch of the month awards 👏\r\n\r\nMahogany Swift, trained by Brian Thompson, and Aero Dignity, trained by , are the latest to grab the gongs - well done to all connections 😊', 'And this weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big hand for Brian, folks!', 'For the second week in a row. This weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big round of applause for Brian, folks! Gone...yes, but not forgotten!']",shooter - alive - experts - cliffe - hero - aka - podz - fuck - hunter - fate,False,12/9/2024 20:14
"Justice for $brian 

If not for anything think abt healthcare 

How tf re u guys buying the token of a killer 

Send $brian to at least half of $luigi mc",22,22_hypocrisy_died_killed_murdering,"['hypocrisy', 'died', 'killed', 'murdering', 'sadden', 'justice', 'innocent', 'untruthful', 'yall', 'guilty']","['The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON! (the finale).\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON !! (the finale).\r\n\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON (the finale).\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump']",hypocrisy - died - killed - murdering - sadden - justice - innocent - untruthful - yall - guilty,False,12/9/2024 20:03
Learning the united healthcare brian thompson assassin Luigi Mangione is a fellow #breloomboss has brought great healing to my soul,16,16_mentalhealth_condolences_donate_gofundme,"['mentalhealth', 'condolences', 'donate', 'gofundme', 'assassin', 'daddy', 'devastated', 'mr', 'john', 'news']","['NEW from Luigi Mangione\'s family:\r\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""Luigi Mangione’s family has released a statement:\r\n\r\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", 'Statement from Luigi Mangione\'s family:\r\n\r\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""']",mentalhealth - condolences - donate - gofundme - assassin - daddy - devastated - mr - john - news,False,12/9/2024 20:01
All Just to kill and murder a man who was doing his job and living his life and providing for his family   What a fkng waste you have become   May the man murdered rest in peace and god bless his family,12,12_liberals_supporters_healthcare_celebrating,"['liberals', 'supporters', 'healthcare', 'celebrating', 'insurance', 'leftists', 'murderer', 'cheering', 'lives', 'celebrated']","['Let’s be honest: The people celebrating the cold blooded murder of Brian Thompson are the ones that suffer from a deranged level of greed & jealousy; they see him as a worthless & expendable object simply because he was wealthy and they aren’t.\r\n\r\nBrian Thompson, as CEO, wasn’t the…', 'Amen! It’s sickening to see people glorifying the cold-blooded killing of Brian Thompson—a man who embodied the American dream. If you’re upset with the healthcare system, work to change it. Stop celebrating a madman.', ""I feel sorry for Brian Thompson and his family. I never condone violence, especially a cold-blooded murder.\r\n\r\nThat said, these billion dollar, often greedy, insurance companies impact a lot of people's lives in a deeply personal way.\r\n\r\nThey make it their mission to deny as many…""]",liberals - supporters - healthcare - celebrating - insurance - leftists - murderer - cheering - lives - celebrated,False,12/9/2024 19:55
"All this about Luigi, what about Brian Thompson! 

JUSTICE FOR BRIAN THOMPSON!",22,22_hypocrisy_died_killed_murdering,"['hypocrisy', 'died', 'killed', 'murdering', 'sadden', 'justice', 'innocent', 'untruthful', 'yall', 'guilty']","['The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON! (the finale).\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON !! (the finale).\r\n\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON (the finale).\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump']",hypocrisy - died - killed - murdering - sadden - justice - innocent - untruthful - yall - guilty,False,12/9/2024 19:54
This man should never have been considered a potential hero. A true hero would have stepped up and saved Brian Thompson's life.,7,7_shooter_alive_experts_cliffe,"['shooter', 'alive', 'experts', 'cliffe', 'hero', 'aka', 'podz', 'fuck', 'hunter', 'fate']","['Congratulations to the latest winners of our dog and bitch of the month awards 👏\r\n\r\nMahogany Swift, trained by Brian Thompson, and Aero Dignity, trained by , are the latest to grab the gongs - well done to all connections 😊', 'And this weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big hand for Brian, folks!', 'For the second week in a row. This weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big round of applause for Brian, folks! Gone...yes, but not forgotten!']",shooter - alive - experts - cliffe - hero - aka - podz - fuck - hunter - fate,False,12/9/2024 19:53
"The praise and appeal for Luigi Mangione's involvement in the death of Brian Thompson has effectively given license for vigilante justice to be waged on the community without consequence.

It's a painful reminder of the inequities in our justice system. Brian deserved compassion.…",17,17_killer_death_killed_care,"['killer', 'death', 'killed', 'care', 'martyr', 'dead', 'executed', 'policy', 'hanged', 'justice']","['This guy mangione thinks he’s done society a favor buy killing a CEO. He’s actually proven he’s a coward especially when you shoot a man in the back. This man had a wife and family and he’s a sick young man and I hope he gets the death penalty or lots of jail time', 'If Hicock or Earp were today in charge of Law enforcement in NYC, Mangionie would be hanged for murder. Just like Jack McCall was hanged for shooting Hicock in the back. This backshooter IS NO HERO. Brian Thompson never knew why this cowardly backshooter shot him in the back.', 'Except Mangione’s family isn’t  “working class,” but VERY wealthy & could afford any care he needed. Stop making the shooter heroic. He executed a human being, a husband & father (he didn’t destroy an establishment’s bad policy, regulatory red tape, or corruption) Dont normalize']",killer - death - killed - care - martyr - dead - executed - policy - hanged - justice,False,12/9/2024 19:48
