Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date
"In response to the death of their late CEO, Brian Thompson,  released a statement this afternoon.

The statement read, ""We are deeply saddened and shocked at the passing of our dear friend and colleague."" ""Brian was a highly respected colleague and friend to all…",13,13_healthcare_ceos_sympathy_condolences,"['healthcare', 'ceos', 'sympathy', 'condolences', 'fatally', 'tragically', 'husband', 'killed', 'death', 'colleague']","['To The Family Of Fallen Chief Executive Officer Brian Thompson, UHC, Who Leaves Behind A Wife And Two Sons, My Deepest Condolences To You For Your Loss. That Was So UNHOLY What That Assassin Did. Shooting An Unarmed Man From Behind, In The Back And In The Hind Leg!', 'Brian Thompson, a well-respected healthcare CEO, was tragically killed in New York. His passing has sent shockwaves through the healthcare community, where he was known for his dedication and innovative leadership. The industry has mourned his loss deeply, with many colleagues an', ""It's sad to see that UHC CEO Brian Thompson was shot to death today. It's unthinkable. \r\n\r\nWhat's worse is that in today's NYC, if he had been able to take down the assassin and chokehold him until police arrived, he'd eventually be facing an unfair trial like Daniel Penny.""]",healthcare - ceos - sympathy - condolences - fatally - tragically - husband - killed - death - colleague,False,12/4/2024 22:43
"The death of Brian Thompson shows that the discourse in this country is can actually translate to violence in real life. We need to be better. Thoughts are with Brian’s family, friends, and the entire  family.",0,0_killer_murders_murderer_hope,"['killer', 'murders', 'murderer', 'hope', 'family', 'died', 'children', 'thousands', 'guy', 'victim']","['Brian Thompson didn’t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say you’re “joyful” or in any way happy his death happened is disgusting.', 'Disturbing!  How does this make anyone feel “joyful”?\r\n\r\nTaylor Lorenz is laughing over Brian Thompson’s death and says it brings her joy.  Piers is having no part of it! Disgusting that anyone would feel this way!', 'There is absolutely no justification for anyone to feel JOY over the assassination of Brian Thompson. Taylor Lorenz should be ashamed of herself. She really needs a good rest to think about why she felt that feeling about someone who died, or to celebrate the assassination! ###']",killer - murders - murderer - hope - family - died - children - thousands - guy - victim,False,12/4/2024 22:30
Rest in power Brian Thompson ✊🏻,7,7_shooter_alive_experts_cliffe,"['shooter', 'alive', 'experts', 'cliffe', 'hero', 'aka', 'podz', 'fuck', 'hunter', 'fate']","['Congratulations to the latest winners of our dog and bitch of the month awards 👏\r\n\r\nMahogany Swift, trained by Brian Thompson, and Aero Dignity, trained by , are the latest to grab the gongs - well done to all connections 😊', 'And this weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big hand for Brian, folks!', 'For the second week in a row. This weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big round of applause for Brian, folks! Gone...yes, but not forgotten!']",shooter - alive - experts - cliffe - hero - aka - podz - fuck - hunter - fate,False,12/4/2024 22:21
"Democrats should celebrate justice for Brian Thompson, but the party that refuses to fix the broken health insurance system is instead reminding Americans why the party deserves to be loathed by every moral American. 

#UnitedHealthcare #BrianThompson",9,9_healthcare_insurer_obamacare_insurance,"['healthcare', 'insurer', 'obamacare', 'insurance', 'medical', 'medicare', 'health', 'condolences', 'companies', 'die']","['I agree. The US health insurance industry needs people just like Brian Thompson. Just as he is right now.', 'The killing of Brian Thompson is a great tragedy, and I send condolences to his loved ones, co-workers, and friends.\r\n\r\nThe social media posts have revealed a widespread antipathy to the health insurance industry.\r\n\r\nPeople are frustrated with health insurance for the following…', ""Whatever you may think of Mr. Brian Thompson, his company, or the health insurance industry in general, I'm sure decent people can agree that this act is heinous, and Mr. Thompson & his associates, friends & family don't deserve this.\r\n\r\nCondolences 🙏 to Mr. Thompson's family.""]",healthcare - insurer - obamacare - insurance - medical - medicare - health - condolences - companies - die,False,12/4/2024 22:19
"i ain't understanding why they are saying brian thompson of united healthcare was assassinated instead of shot or murdered?

do they just use that word for CEOs or is there another reason?

it is very sad that he was killed. i am just trying to understand if there is something…",21,21_died_tore_killer_murderer,"['died', 'tore', 'killer', 'murderer', 'killed', 'god', 'die', 'empathy', 'victims', 'disgusting']","['United Healthcare CEO Brian Thompson was murdered today. Murder is ALWAYS wrong. Holding his family in The Light.\r\nWhat does not make news are the THOUSANDS of Americans who die because their health claim was denied by insurance companies.', 'Charlamage the God chimes in on the murder of UnitedHealthcare CEO Brian Thompson, questions why people are celebrating it.\r\n\r\n""I don\'t understand why people are celebrating him being killed because like I said yesterday, he\'s dead. His kids don\'t got no father.""', 'Charlamagne tha God slammed people celebrating the cold-blooded assassination of UnitedHealthcare CEO Brian Thompson — and delivered a reality check about its larger meaning.\r\n\r\n“I don’t understand why people are celebrating him being killed,” the radio host said Friday on his show…']",died - tore - killer - murderer - killed - god - die - empathy - victims - disgusting,False,12/4/2024 22:13
"NYC’s strict gun laws couldn’t stop the tragic execution of UnitedHealthcare CEO Brian Thompson. A silenced gun, a cold-blooded act—proof that criminals don’t follow laws. Go figure. 😔",1,1_unitedhealth_family_visionary_healthcare,"['unitedhealth', 'family', 'visionary', 'healthcare', 'health', 'company', 'leader', 'care', 'paulette', 'prayers']","['🚨 JUST IN: Surveillance Footage Shows UnitedHealthcare CEO Fatally Shot:  \r\n\r\nBrian Thompson was gunned down outside the Hilton Hotel in Midtown Manhattan. A truly tragic and heartbreaking incident. 🇺🇸 🙏🏾', '🚨WIFE OF SLAIN UNITEDHEALTHCARE CEO REVEALS HE RECEIVED THREATS BEFORE SHOOTING\r\n\r\nPaulette Thompson, wife of UnitedHealthcare CEO Brian Thompson, disclosed that her husband had been receiving threats before he was fatally shot outside a Midtown Manhattan hotel.\r\n\r\nIn her first…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']",unitedhealth - family - visionary - healthcare - health - company - leader - care - paulette - prayers,False,12/4/2024 22:05
"Brian Thompson, the UnitedHealth insurance executive who was fatally shot in New York City on Wednesday, grew up in a small Iowa town and rose through the ranks of healthcare giant UnitedHealth to head the country’s largest health insurer",6,6_andrew_died_unitedhealth_news,"['andrew', 'died', 'unitedhealth', 'news', 'hawkeye', 'rest', 'leader', 'support', 'condolences', 'hope']","['In response to the incident, UnitedHealthcare issued a statement. The company wrote, “We are deeply saddened and shocked at the passing of our dear friend and colleague Brian Thompson, the CEO of UnitedHealthcare. Brian was a highly respected colleague and friend to all who…', 'UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the group’s insurance arm, UnitedHealthcare, following Thompson’s death at the hands of a gunman.', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\r\n\r\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \r\nDecember 05, 2024\r\n\r\nUnitedHealth Group today issued the following statement:\r\n\r\n""While our hearts are broken, we have been…']",andrew - died - unitedhealth - news - hawkeye - rest - leader - support - condolences - hope,False,12/4/2024 22:05
"At what level do you get personal security as a CEO? Sure as hell would think the CEO of United Healthcare would have some level of security.

Sad & Graphic…RIP Brian Thompson
#UnitedHealthcare #unitedhealthcareceo #BrianThompson",2,2_brianthompson_innocent_sympathy_hero,"['brianthompson', 'innocent', 'sympathy', 'hero', 'pay', 'guy', 'deserved', 'uncle', 'ceos', 'alive']","['At what level do you get personal security as a CEO? Sure as hell would think the CEO of United Healthcare would have some level of security.\r\n\r\nSad & Graphic…RIP Brian Thompson\r\n#UnitedHealthcare #unitedhealthcareceo #BrianThompson', 'I don’t know which side this CEO was on, whether criminal or slave, but it still breaks my heart that a life was taken and people who loved him are hurting. Especially if there are innocent children involved!  Prayers for our broken world and the broken people in it.💔🙏🏼', 'Unhinged leftist says the UnitedHealthcare CEO was a billionaire who was responsible for the de*ths of millions so you shouldn’t feel bad for his family.\r\n\r\nSo now even innocent family members deserve to suffer?\r\n\r\nThis woman is deranged. Couldn’t tell by the glasses and nose ring.']",brianthompson - innocent - sympathy - hero - pay - guy - deserved - uncle - ceos - alive,True,12/4/2024 22:00
"Heartbreaking news: UnitedHealth Group CEO Brian Thompson has tragically passed away. 🚨💔 Let's hope for justice. #UnitedHealth #Leadership
 Read more:",6,6_andrew_died_unitedhealth_news,"['andrew', 'died', 'unitedhealth', 'news', 'hawkeye', 'rest', 'leader', 'support', 'condolences', 'hope']","['In response to the incident, UnitedHealthcare issued a statement. The company wrote, “We are deeply saddened and shocked at the passing of our dear friend and colleague Brian Thompson, the CEO of UnitedHealthcare. Brian was a highly respected colleague and friend to all who…', 'UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the group’s insurance arm, UnitedHealthcare, following Thompson’s death at the hands of a gunman.', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\r\n\r\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \r\nDecember 05, 2024\r\n\r\nUnitedHealth Group today issued the following statement:\r\n\r\n""While our hearts are broken, we have been…']",andrew - died - unitedhealth - news - hawkeye - rest - leader - support - condolences - hope,False,12/4/2024 21:50
"UnitedHealthcare CEO Brian Thompson's murder caught-on-video

 This was not a random shooting the person has a silencer on the weapon. He was targeted. What a shame.",1,1_unitedhealth_family_visionary_healthcare,"['unitedhealth', 'family', 'visionary', 'healthcare', 'health', 'company', 'leader', 'care', 'paulette', 'prayers']","['🚨 JUST IN: Surveillance Footage Shows UnitedHealthcare CEO Fatally Shot:  \r\n\r\nBrian Thompson was gunned down outside the Hilton Hotel in Midtown Manhattan. A truly tragic and heartbreaking incident. 🇺🇸 🙏🏾', '🚨WIFE OF SLAIN UNITEDHEALTHCARE CEO REVEALS HE RECEIVED THREATS BEFORE SHOOTING\r\n\r\nPaulette Thompson, wife of UnitedHealthcare CEO Brian Thompson, disclosed that her husband had been receiving threats before he was fatally shot outside a Midtown Manhattan hotel.\r\n\r\nIn her first…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']",unitedhealth - family - visionary - healthcare - health - company - leader - care - paulette - prayers,False,12/4/2024 21:48
Some of you pearl-clutchers need to understand who Brian Thompson was.,7,7_shooter_alive_experts_cliffe,"['shooter', 'alive', 'experts', 'cliffe', 'hero', 'aka', 'podz', 'fuck', 'hunter', 'fate']","['Congratulations to the latest winners of our dog and bitch of the month awards 👏\r\n\r\nMahogany Swift, trained by Brian Thompson, and Aero Dignity, trained by , are the latest to grab the gongs - well done to all connections 😊', 'And this weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big hand for Brian, folks!', 'For the second week in a row. This weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big round of applause for Brian, folks! Gone...yes, but not forgotten!']",shooter - alive - experts - cliffe - hero - aka - podz - fuck - hunter - fate,False,12/4/2024 21:43
"Those who knew Brian Thompson, CEO of UnitedHealthcare, struggled to process the news that he had been shot and killed in New York City.",1,1_unitedhealth_family_visionary_healthcare,"['unitedhealth', 'family', 'visionary', 'healthcare', 'health', 'company', 'leader', 'care', 'paulette', 'prayers']","['🚨 JUST IN: Surveillance Footage Shows UnitedHealthcare CEO Fatally Shot:  \r\n\r\nBrian Thompson was gunned down outside the Hilton Hotel in Midtown Manhattan. A truly tragic and heartbreaking incident. 🇺🇸 🙏🏾', '🚨WIFE OF SLAIN UNITEDHEALTHCARE CEO REVEALS HE RECEIVED THREATS BEFORE SHOOTING\r\n\r\nPaulette Thompson, wife of UnitedHealthcare CEO Brian Thompson, disclosed that her husband had been receiving threats before he was fatally shot outside a Midtown Manhattan hotel.\r\n\r\nIn her first…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']",unitedhealth - family - visionary - healthcare - health - company - leader - care - paulette - prayers,False,12/4/2024 21:39
"The tragic news of the untimely passing of Brian Thompson, CEO of UnitedHealthcare is heartbreaking. Our thoughts and condolences are with Brian’s family and our partner, UnitedHealth Group during this challenging time.",6,6_andrew_died_unitedhealth_news,"['andrew', 'died', 'unitedhealth', 'news', 'hawkeye', 'rest', 'leader', 'support', 'condolences', 'hope']","['In response to the incident, UnitedHealthcare issued a statement. The company wrote, “We are deeply saddened and shocked at the passing of our dear friend and colleague Brian Thompson, the CEO of UnitedHealthcare. Brian was a highly respected colleague and friend to all who…', 'UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the group’s insurance arm, UnitedHealthcare, following Thompson’s death at the hands of a gunman.', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\r\n\r\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \r\nDecember 05, 2024\r\n\r\nUnitedHealth Group today issued the following statement:\r\n\r\n""While our hearts are broken, we have been…']",andrew - died - unitedhealth - news - hawkeye - rest - leader - support - condolences - hope,False,12/4/2024 21:30
"My most sincere condolences to the family and friends and colleagues of #BrianThompson #UnitedHealthcare #unitedhealthcareceo CEO , senseless killing,  my heart goes out to his wife , I hope and pray they catch his killer.",6,6_andrew_died_unitedhealth_news,"['andrew', 'died', 'unitedhealth', 'news', 'hawkeye', 'rest', 'leader', 'support', 'condolences', 'hope']","['In response to the incident, UnitedHealthcare issued a statement. The company wrote, “We are deeply saddened and shocked at the passing of our dear friend and colleague Brian Thompson, the CEO of UnitedHealthcare. Brian was a highly respected colleague and friend to all who…', 'UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the group’s insurance arm, UnitedHealthcare, following Thompson’s death at the hands of a gunman.', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\r\n\r\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \r\nDecember 05, 2024\r\n\r\nUnitedHealth Group today issued the following statement:\r\n\r\n""While our hearts are broken, we have been…']",andrew - died - unitedhealth - news - hawkeye - rest - leader - support - condolences - hope,False,12/4/2024 21:17
It was planned and calculated. He knew exactly where and when Brian Thompson would be. So sad😓,7,7_shooter_alive_experts_cliffe,"['shooter', 'alive', 'experts', 'cliffe', 'hero', 'aka', 'podz', 'fuck', 'hunter', 'fate']","['Congratulations to the latest winners of our dog and bitch of the month awards 👏\r\n\r\nMahogany Swift, trained by Brian Thompson, and Aero Dignity, trained by , are the latest to grab the gongs - well done to all connections 😊', 'And this weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big hand for Brian, folks!', 'For the second week in a row. This weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big round of applause for Brian, folks! Gone...yes, but not forgotten!']",shooter - alive - experts - cliffe - hero - aka - podz - fuck - hunter - fate,False,12/4/2024 21:11
seeing all these tweets about Brian Thompson and keep getting excited that we’re all talking about the GOAT,7,7_shooter_alive_experts_cliffe,"['shooter', 'alive', 'experts', 'cliffe', 'hero', 'aka', 'podz', 'fuck', 'hunter', 'fate']","['Congratulations to the latest winners of our dog and bitch of the month awards 👏\r\n\r\nMahogany Swift, trained by Brian Thompson, and Aero Dignity, trained by , are the latest to grab the gongs - well done to all connections 😊', 'And this weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big hand for Brian, folks!', 'For the second week in a row. This weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big round of applause for Brian, folks! Gone...yes, but not forgotten!']",shooter - alive - experts - cliffe - hero - aka - podz - fuck - hunter - fate,False,12/4/2024 21:08
"im sorry for making all these jokes about the unitedhealthcare CEO 

but I assessed the risk",2,2_brianthompson_innocent_sympathy_hero,"['brianthompson', 'innocent', 'sympathy', 'hero', 'pay', 'guy', 'deserved', 'uncle', 'ceos', 'alive']","['At what level do you get personal security as a CEO? Sure as hell would think the CEO of United Healthcare would have some level of security.\r\n\r\nSad & Graphic…RIP Brian Thompson\r\n#UnitedHealthcare #unitedhealthcareceo #BrianThompson', 'I don’t know which side this CEO was on, whether criminal or slave, but it still breaks my heart that a life was taken and people who loved him are hurting. Especially if there are innocent children involved!  Prayers for our broken world and the broken people in it.💔🙏🏼', 'Unhinged leftist says the UnitedHealthcare CEO was a billionaire who was responsible for the de*ths of millions so you shouldn’t feel bad for his family.\r\n\r\nSo now even innocent family members deserve to suffer?\r\n\r\nThis woman is deranged. Couldn’t tell by the glasses and nose ring.']",brianthompson - innocent - sympathy - hero - pay - guy - deserved - uncle - ceos - alive,False,12/4/2024 21:01
#crimestoppers #NYC Brian Thompson  the #victim  via  #BrianThompson  #CEO #Suspectwanted #NYC help get this monster off the streets,13,13_healthcare_ceos_sympathy_condolences,"['healthcare', 'ceos', 'sympathy', 'condolences', 'fatally', 'tragically', 'husband', 'killed', 'death', 'colleague']","['To The Family Of Fallen Chief Executive Officer Brian Thompson, UHC, Who Leaves Behind A Wife And Two Sons, My Deepest Condolences To You For Your Loss. That Was So UNHOLY What That Assassin Did. Shooting An Unarmed Man From Behind, In The Back And In The Hind Leg!', 'Brian Thompson, a well-respected healthcare CEO, was tragically killed in New York. His passing has sent shockwaves through the healthcare community, where he was known for his dedication and innovative leadership. The industry has mourned his loss deeply, with many colleagues an', ""It's sad to see that UHC CEO Brian Thompson was shot to death today. It's unthinkable. \r\n\r\nWhat's worse is that in today's NYC, if he had been able to take down the assassin and chokehold him until police arrived, he'd eventually be facing an unfair trial like Daniel Penny.""]",healthcare - ceos - sympathy - condolences - fatally - tragically - husband - killed - death - colleague,False,12/4/2024 20:59
"This is absolutely horrific. My heart goes out to his family, friends, and colleagues.",23,23_unitedheathcare_victims_responsibility_condolences,"['unitedheathcare', 'victims', 'responsibility', 'condolences', 'tragedy', 'tragic', 'colleagues', 'illness', 'news', 'horrified']","['Prayers', 'RIP. Thoughts and prayers to his family.', 'Thoughts and prayers']",unitedheathcare - victims - responsibility - condolences - tragedy - tragic - colleagues - illness - news - horrified,False,12/4/2024 20:59
Disturbing footage has emerged showing a shocking act of violence against UnitedHealthcare CEO Brian Thompson. The incident raises serious questions about safety and security in our society. Our thoughts are with those affected by this tragic event. Video footage released of,1,1_unitedhealth_family_visionary_healthcare,"['unitedhealth', 'family', 'visionary', 'healthcare', 'health', 'company', 'leader', 'care', 'paulette', 'prayers']","['🚨 JUST IN: Surveillance Footage Shows UnitedHealthcare CEO Fatally Shot:  \r\n\r\nBrian Thompson was gunned down outside the Hilton Hotel in Midtown Manhattan. A truly tragic and heartbreaking incident. 🇺🇸 🙏🏾', '🚨WIFE OF SLAIN UNITEDHEALTHCARE CEO REVEALS HE RECEIVED THREATS BEFORE SHOOTING\r\n\r\nPaulette Thompson, wife of UnitedHealthcare CEO Brian Thompson, disclosed that her husband had been receiving threats before he was fatally shot outside a Midtown Manhattan hotel.\r\n\r\nIn her first…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']",unitedhealth - family - visionary - healthcare - health - company - leader - care - paulette - prayers,False,12/4/2024 20:59
"NEW: The wife of UnitedHealthcare CEO Brian Thompson says her husband had received threats.  

""There were some people that had been threatening him,"" Paulette Thompson told NBC News. ""Basically, I don’t know, a lack of coverage?""

""I don’t know details. [...] I can’t really give…",1,1_unitedhealth_family_visionary_healthcare,"['unitedhealth', 'family', 'visionary', 'healthcare', 'health', 'company', 'leader', 'care', 'paulette', 'prayers']","['🚨 JUST IN: Surveillance Footage Shows UnitedHealthcare CEO Fatally Shot:  \r\n\r\nBrian Thompson was gunned down outside the Hilton Hotel in Midtown Manhattan. A truly tragic and heartbreaking incident. 🇺🇸 🙏🏾', '🚨WIFE OF SLAIN UNITEDHEALTHCARE CEO REVEALS HE RECEIVED THREATS BEFORE SHOOTING\r\n\r\nPaulette Thompson, wife of UnitedHealthcare CEO Brian Thompson, disclosed that her husband had been receiving threats before he was fatally shot outside a Midtown Manhattan hotel.\r\n\r\nIn her first…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']",unitedhealth - family - visionary - healthcare - health - company - leader - care - paulette - prayers,False,12/4/2024 20:58
"I am deeply saddened by the tragic loss of Brian Thompson, CEO of UnitedHealthcare. Brian and his team have been great partners to T-Mobile. He was a leader dedicated to improving healthcare for millions and my thoughts are with his family, friends, and colleagues during this…",6,6_andrew_died_unitedhealth_news,"['andrew', 'died', 'unitedhealth', 'news', 'hawkeye', 'rest', 'leader', 'support', 'condolences', 'hope']","['In response to the incident, UnitedHealthcare issued a statement. The company wrote, “We are deeply saddened and shocked at the passing of our dear friend and colleague Brian Thompson, the CEO of UnitedHealthcare. Brian was a highly respected colleague and friend to all who…', 'UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the group’s insurance arm, UnitedHealthcare, following Thompson’s death at the hands of a gunman.', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\r\n\r\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \r\nDecember 05, 2024\r\n\r\nUnitedHealth Group today issued the following statement:\r\n\r\n""While our hearts are broken, we have been…']",andrew - died - unitedhealth - news - hawkeye - rest - leader - support - condolences - hope,False,12/4/2024 20:54
"In response to the incident, UnitedHealthcare issued a statement. The company wrote, “We are deeply saddened and shocked at the passing of our dear friend and colleague Brian Thompson, the CEO of UnitedHealthcare. Brian was a highly respected colleague and friend to all who…",6,6_andrew_died_unitedhealth_news,"['andrew', 'died', 'unitedhealth', 'news', 'hawkeye', 'rest', 'leader', 'support', 'condolences', 'hope']","['In response to the incident, UnitedHealthcare issued a statement. The company wrote, “We are deeply saddened and shocked at the passing of our dear friend and colleague Brian Thompson, the CEO of UnitedHealthcare. Brian was a highly respected colleague and friend to all who…', 'UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the group’s insurance arm, UnitedHealthcare, following Thompson’s death at the hands of a gunman.', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\r\n\r\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \r\nDecember 05, 2024\r\n\r\nUnitedHealth Group today issued the following statement:\r\n\r\n""While our hearts are broken, we have been…']",andrew - died - unitedhealth - news - hawkeye - rest - leader - support - condolences - hope,True,12/4/2024 20:51
"Medicare hmm 🤔 just saying
May he rest in peace 



From an article from NPR",9,9_healthcare_insurer_obamacare_insurance,"['healthcare', 'insurer', 'obamacare', 'insurance', 'medical', 'medicare', 'health', 'condolences', 'companies', 'die']","['I agree. The US health insurance industry needs people just like Brian Thompson. Just as he is right now.', 'The killing of Brian Thompson is a great tragedy, and I send condolences to his loved ones, co-workers, and friends.\r\n\r\nThe social media posts have revealed a widespread antipathy to the health insurance industry.\r\n\r\nPeople are frustrated with health insurance for the following…', ""Whatever you may think of Mr. Brian Thompson, his company, or the health insurance industry in general, I'm sure decent people can agree that this act is heinous, and Mr. Thompson & his associates, friends & family don't deserve this.\r\n\r\nCondolences 🙏 to Mr. Thompson's family.""]",healthcare - insurer - obamacare - insurance - medical - medicare - health - condolences - companies - die,False,12/4/2024 20:48
I’m sickened by some of the comments about UHC’s CEO Brian Thompson. Brian was a genuinely nice guy with a family. Celebrating the death of a man because he heads a business you don’t like is disgraceful.,13,13_healthcare_ceos_sympathy_condolences,"['healthcare', 'ceos', 'sympathy', 'condolences', 'fatally', 'tragically', 'husband', 'killed', 'death', 'colleague']","['To The Family Of Fallen Chief Executive Officer Brian Thompson, UHC, Who Leaves Behind A Wife And Two Sons, My Deepest Condolences To You For Your Loss. That Was So UNHOLY What That Assassin Did. Shooting An Unarmed Man From Behind, In The Back And In The Hind Leg!', 'Brian Thompson, a well-respected healthcare CEO, was tragically killed in New York. His passing has sent shockwaves through the healthcare community, where he was known for his dedication and innovative leadership. The industry has mourned his loss deeply, with many colleagues an', ""It's sad to see that UHC CEO Brian Thompson was shot to death today. It's unthinkable. \r\n\r\nWhat's worse is that in today's NYC, if he had been able to take down the assassin and chokehold him until police arrived, he'd eventually be facing an unfair trial like Daniel Penny.""]",healthcare - ceos - sympathy - condolences - fatally - tragically - husband - killed - death - colleague,False,12/4/2024 20:40
"I’d like X to have a check box for “I don’t want to see a recording of an innocent man walking down a sidewalk and being executed in my timeline”

It is disrespectful and in bad taste that people are posting and sharing that video.

Condolences to the family of Brian Thompson.",8,8_condolences_killer_assassin_news,"['condolences', 'killer', 'assassin', 'news', 'shot', 'bullet', 'bullets', 'incident', 'god', 'colleagues']","['JUSTICE FOR BRIAN. THE PEOPLE NEED TO RALLY FOR WHAT IS GOOD. NOT WHAT IS BAD.\r\n\r\nBRIAN THOMPSON WAS SHOT AND MURDERED IN COLD BLOOD. HIS FAMILY WANT JUSTICE.', 'Someone killed $Brian Thompson \r\n\r\nBrian has a family and two innocent children 🧒 so he deserves justice..\r\nJustice for #BrianThompson \r\n\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'Justice for Brian Thompson.']",condolences - killer - assassin - news - shot - bullet - bullets - incident - god - colleagues,False,12/4/2024 20:36
"UnitedHealthcare CEO's family is ""shocked and heartbroken,"" his sister-in-law told STAT. They learned about his shooting online, ""which is shameful."" Thompson headed the country's largest health insurer, on pace for $300B in revenue in '24. 
 via",3,3_brianthompson_tragic_john_andrew,"['brianthompson', 'tragic', 'john', 'andrew', 'slain', 'mr', 'chief', 'leader', 'role', 'care']","['🚨🇺🇸 NEW UHC CEO PRAISES MURDERED CEO AS A “HEALTHCARE LEGEND”\r\n\r\nIn a leaked pep talk to staff, UnitedHealth Group CEO Andrew Witty praised slain CEO Brian Thompson as a titan of healthcare, claiming he had one of the “biggest effects” on the industry—despite ongoing accusations…', 'UnitedHealth chief admits US health system ‘does not work as well as it should’  \r\nIn a New York Times essay, Andrew Witty also says slain healthcare CEO Brian Thompson cared about customers\r\n\r\nThe leader of the parent company of Unit…', ""UnitedHealth Group $UNH is navigating challenges following the tragic loss of UnitedHealthcare CEO Brian Thompson. CEO Andrew Witty acknowledges the healthcare system's flaws and emphasizes the company's commitment to improvements.""]",brianthompson - tragic - john - andrew - slain - mr - chief - leader - role - care,False,12/4/2024 20:29
This man is my hero. May all the victims of #UnitedHealthcare rest in peace. 🙏🏽😣,2,2_brianthompson_innocent_sympathy_hero,"['brianthompson', 'innocent', 'sympathy', 'hero', 'pay', 'guy', 'deserved', 'uncle', 'ceos', 'alive']","['At what level do you get personal security as a CEO? Sure as hell would think the CEO of United Healthcare would have some level of security.\r\n\r\nSad & Graphic…RIP Brian Thompson\r\n#UnitedHealthcare #unitedhealthcareceo #BrianThompson', 'I don’t know which side this CEO was on, whether criminal or slave, but it still breaks my heart that a life was taken and people who loved him are hurting. Especially if there are innocent children involved!  Prayers for our broken world and the broken people in it.💔🙏🏼', 'Unhinged leftist says the UnitedHealthcare CEO was a billionaire who was responsible for the de*ths of millions so you shouldn’t feel bad for his family.\r\n\r\nSo now even innocent family members deserve to suffer?\r\n\r\nThis woman is deranged. Couldn’t tell by the glasses and nose ring.']",brianthompson - innocent - sympathy - hero - pay - guy - deserved - uncle - ceos - alive,False,12/4/2024 20:16
