Topic,Count,Name,Representation,Representative_Docs
0,299,0_murderer_killer_killed_murdering,"['murderer', 'killer', 'killed', 'murdering', 'sympathy', 'deserved', 'kill', 'shooter', 'guy', 'man']","['Brian Thompson is a mass murderer and was put down like one.', 'Yes, Brian Thompson was a human being with a family. He was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year. \n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? ðŸ¤”', ""I don't believe Brian Thompson deserved to be killed because of a bad experience my family had with an insurance company. I believe he deserved to be killed because he oversaw the mass murder of thousands of Americans.\n\nSome of us have empathy for people beyond our own families.""]"
1,246,1_ceos_executives_insider_deaths,"['ceos', 'executives', 'insider', 'deaths', 'died', 'killed', 'profits', 'rich', 'death', 'corrupt']","['United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference. \n\nQ3815\n""What happens when people learn the TRUTH?â€¦', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)!', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to aâ€¦']"
2,237,2_healthcare_unitedhealthcareâ_ceos_medical,"['healthcare', 'unitedhealthcareâ', 'ceos', 'medical', 'doctors', 'health', 'insurance', 'medicare', 'sympathy', 'patients']","['UnitedHealthcare CEO had been receiving death threats about ""lack of coverage"" his wife says\n\nA lawsuit filed in 2023 claims the company was using an AI model with 90% error rate to deny care', ""Lawsuit Filed Before Killing of UnitedHealthcare CEO Accused Insurance Giant of Using Faulty AI Tool to Deny Claims Approved by Doctors  \nIt's time to take a hard look at the insurance industry, and shut down the scam that it currently is."", ""Insurance companies make profits from denying to help people. UnitedHealthcare Group had a 32% claim denial rate in 2023, they've done more than just ruin people's lives, they've killed people. I don't think people who do OF kill thousands of people per year.""]"
3,228,3_ceos_luigiâ_healthcare_insurance,"['ceos', 'luigiâ', 'healthcare', 'insurance', 'killer', 'murderer', 'poor', 'killed', 'death', 'corporate']","[""Fuck you corpo mouthpiece. It's not strange people support Luigi. I hope your whole family is denied health insurance every time they're sick. That ceo single handedly killed tens of thousands of our fellow citizens, yet bootlicker pos like you is defending him. FK YOU."", ""Rittenhouse isn't a POS but Luigi is a hero! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands annually. Good riddance"", ""Luigi is a hero for eliminating this vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance.""]"
4,140,4_ceos_murdering_murderer_killed,"['ceos', 'murdering', 'murderer', 'killed', 'deaths', 'luigimangione', 'brianthompson', 'rich', 'killer', 'kill']","['Free him! \n\nIf Daniel Penny & Kyle Rittenhouse can get away with murdering people without justification, so can Luigi Mangione.\n\nThe United Healthcare CEO was a parasite on society (just like every other billionaire) by using his money to deliberately cause harm and death on us!', '123 People Are Killed By Health Insurance CEOs Denying Health Care EVERY DAY.\n123 People Killed EVERY DAY.\nWe Need More Luigi Mangiones.', ""Ted Bundy killed innocent women.\n\nLuigi Mangione killed a multi-millionaire CEO of United Health Care who made his $millions denying health care coverage; UHC's business practices kill far more people each year than every serial killer who ever lived combined. Not cheering, BUTâ€¦""]"
5,140,5_unitedhealthcareâ_unitedhealth_ceos_healthcare,"['unitedhealthcareâ', 'unitedhealth', 'ceos', 'healthcare', 'executives', 'ceoâ', 'executive', 'insurance', 'health', 'thompsonâ']","['Taylor Lorenz is celebrating the murder of the UnitedHealthcare CEO.', 'Be careful CEO of Enron, Taylor Lorenz ""felt joy"" when UnitedHealth CEO was shot by Luigi Mangione. \n\nSource: Lorenz Taylor\'s interview with Piers Morgan. It\'s on YouTube if you want to watch.', 'Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO']"
6,133,6_healthcare_killer_billionaires_died,"['healthcare', 'killer', 'billionaires', 'died', 'death', 'slain', 'medicare', 'pension', 'moral', 'thompsonâ']","['Right-wingers are pissed that the left is happy a scumbag like Brian Thompson was killed. \n\nThe same people who are also ok with, \n\nTrump, the murder of people in Gaza, the fact Americans are under attack from the ruling class, minorities are at higher risk!\n\nFuck ALL of You!ðŸ–•', ""I don't know what these people want from me. I didn't do my happy-dance, I didn't throw a party...wtf do you think I am, anyway?\nLet me make this clear: fuck Brian Thompson. Fuck him and anyone that looks like him. Fuck every CEO that ever lived and if you don't like that, well.."", 'Is it too soon for me to laugh my ass offðŸŽ‰ðŸŽ‰ðŸŽ‰â\x9d¤ï¸\x8fâ\x9d¤ï¸\x8fâ\x9d¤ï¸\x8fðŸ¤£ðŸ¤£ðŸ¤£! May more of these son of a bitches that made money off murdering people, and causing life long quackzine injuries to people,with that quackzine get the same justice! \nRot in hell mother fucker, rot in hell!! \nBasicallyâ€¦']"
