Topic,Count,Name,Representation,Representative_Docs
10,62,10_physician_source_insurance_unitedhealth,"['physician', 'source', 'insurance', 'unitedhealth', 'unitedhealthcareâ', 'insurers', 'patients', 'lawsuit', 'profits', 'story']","['Gee I wonder who would want to shoot this prick.\n\nAlgorithmic Denial of Care: UnitedHealthcare has been accused of employing an AI algorithm to override physician recommendations for extended care, leading to denials of coverage for patients who might benefit from post-acute careâ€¦', 'Lawsuit Filed Before Killing of UnitedHealthcare CEO Accused Insurance Giant of Using Faulty AI Tool to Deny Claims Approved by Doctors \nSource:', 'UnitedHealthcare has been accused of using an AI algorithm, specifically nH Predict, to deny claims for post-acute care under Medicare Advantage plans. \n\nThis AI reportedly has a 90% error rate, leading to wrongful denials of care that physicians had deemed necessary. \n\nTheseâ€¦']"
11,57,11_dead_fuck_wasnâ_theclaimsadjustor,"['dead', 'fuck', 'wasnâ', 'theclaimsadjustor', 'alive', 'god', 'ripbozo', 'deserved', 'better', 'honor']","['Brian Thompson: Rest In Piss', 'Iâ€™ve had several tweets in my drafts all day but havenâ€™t posted them because Iâ€™m sick and havenâ€™t wanted to deal with riling anyone up. \n\nHowever, if you believe Brian Thompson was â€œtargetedâ€\x9d by a single person/family that didnâ€™t receive coverage, I have a bridge to sell you.â€¦', 'Rest in piss you piece of shit']"
12,54,12_insurance_healthcare_antitrust_lawsuit,"['insurance', 'healthcare', 'antitrust', 'lawsuit', 'fraud', 'assassinated', 'sued', 'executives', 'insider', 'claims']","['United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference.\nQ3815\n""What happens when people learn the TRUTH?\nWhatâ€¦', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference. \n\nQ3815\n""What happens when people learn the TRUTH?â€¦', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)!']"
13,53,13_ceos_healthcare_murdering_insurance,"['ceos', 'healthcare', 'murdering', 'insurance', 'killed', 'corpo', 'medical', 'death', 'profit', 'health']","['Thatâ€™s why so many people can relate to the United healthcare shooter Luigi. Because insurance companies is in the medical system profit over people by protocol playbook has her in destroy family as well', ""Fuck you corpo mouthpiece. It's not strange people support Luigi. I hope your whole family is denied health insurance every time they're sick. That ceo single handedly killed tens of thousands of our fellow citizens, yet bootlicker pos like you is defending him. FK YOU."", ""Fuck you corpo mouthpiece. It's not strange people support Luigi. I hope your whole family is denied health insurance every time they're sick. That ceo single handedly killed tens of thousands of our fellow citizens, yet bootlicker pos like you is defending him.""]"
14,50,14_ceos_unitedhealth_brianthompson_supporting,"['ceos', 'unitedhealth', 'brianthompson', 'supporting', 'insurance', 'unitedhealthcareassassin', 'unitedhealthcareceo', 'killer', 'healthcare', 'conservatives']","[""If the police and United Healthcare don't like the reaction to Mangione's crime United shouldn't deny 34% of the claims submitted even with authorization. Nor should BC/BS, Anthem, Health Net or Aetna. Its called karma. I watched it happen"", ""Notice the same liberals who are defending #LuigiMangione & his murder of United Healthcare CEO #BrianThompson are also vilifying #DanielPenny & the jury's not guilty verdict. Penny is a hero who saved lives. Mangione is an anti-capitalist leftist who killed in cold blood. SICK!!"", ""Ted Bundy killed innocent women.\n\nLuigi Mangione killed a multi-millionaire CEO of United Health Care who made his $millions denying health care coverage; UHC's business practices kill far more people each year than every serial killer who ever lived combined. Not cheering, BUTâ€¦""]"
15,46,15_assassinated_thompsonâ_hypocrisy_trump,"['assassinated', 'thompsonâ', 'hypocrisy', 'trump', 'innocent', 'billionaires', 'rich', 'media', 'violence', 'redemption']","['If your job is to win elections â€” to judge + channel public opinion â€” and youâ€™re not taking note of how Brian Thompsonâ€™s murder has produced the most potent organic reaction of working class joy and solidarity of any single event in modern political history, you need a new job.', 'TONIGHT!\n\nHypocrisy of rules-based order\n\nMurder, torture, theft - praised if done in service of plutocrats:\n\nIsrael\nBrian Thompson\nDaniel Perry\nHunter Biden\nBillionaires\n\nBeyond redemption:\n\nRussia\nLuis Mangione\nJordan Keely\nAssange\nPoor/working class', 'LIVE NOW!\n\nHypocrisy of rules-based order\n\nMurder, torture, theft - praised if done in service of plutocrats:\n\nIsrael\nBrian Thompson\nDaniel Penny\nHunter Biden\nBillionaires\n\nBeyond redemption:\n\nRussia\nLuis Mangione\nJordan Keely\nAssange\nPoor/working class']"
16,45,16_healthcare_deaths_insurance_greed,"['healthcare', 'deaths', 'insurance', 'greed', 'health', 'killed', 'policies', 'ethical', 'died', 'die']","['A lot of my fans are asking me about this.\n\nAlthough I donâ€™t condone murder of CEO Brian Thompson, the health insurance industry needs to do the right thing and stop denying legitimate claims. \n\nWe need universal health care in America like in Canada, UK, and even Cuba.', 'I donâ€™t know why this happened and taking someoneâ€™s life is never the answer, but I have to say Iâ€™m not shocked. \n\nThe insurance industry in the USA is out of control. The costs to people versus what they get is never balanced. These insurance companies will watch you and yourâ€¦', ""Insurance companies make profits from denying to help people. UnitedHealthcare Group had a 32% claim denial rate in 2023, they've done more than just ruin people's lives, they've killed people. I don't think people who do OF kill thousands of people per year.""]"
17,45,17_thompsonâ_healthcare_sentiment_shamelessly,"['thompsonâ', 'healthcare', 'sentiment', 'shamelessly', 'healthcareâ', 'consumerism', 'instead', 'empathy', 'celebrating', 'ceos']","[""The murder of Brian Thompson, United Healthcare executive, is now celebrated by the Left. Yet he was simply implementing Obama Care, the signature accomplishment of the Left under Obama. Think about it. Think hard. Hypocrocy doesn't begin to describe this sick bunch of cretins."", 'DISGUSTING: Fat left activists are posting videos celebrating the killing of United Healthcare CEO Brian Thompson and describing the murderer as a â€œhero.â€\x9d\n\nThese same freaks are the ones who say genocide when countries go after terrorists.', 'Letâ€™s get this straight. \n\nSince the left is actually celebrating the death of United Healthcareâ€™s CEO Brian Thompson, the lack of outcry for gun control is deafening. \n\nIf they really mean what they say, the left has to change their whole stance on guns. \n\nOr is it aâ€¦']"
18,39,18_policies_sympathy_demise_surviving,"['policies', 'sympathy', 'demise', 'surviving', 'whose', 'thompsonâ', 'death', 'desecrate', 'happened', 'pundits']","['I don\'t condone murder, but this weeks ""Flying Fickle Finger of Fate"" award goes to...you guessed it, Brian Thompson! Let\'s have a big round of applause for Brian, folks!', '""Why are we asking random pundits [to] have empathy for [Brian Thompson] & their family, while there\'s no question being asked about who has empathy for the tens of thousands of Americans who are killed every year by the policies that Brian Thompson has made...tens of millions ofâ€¦', '""Why are we asking random pundits why they would have empathy for [Brian Thompson] & their family, while there\'s no question being asked about who has empathy for the tens of thousands of Americans who are killed every year by the policies that Brian Thompson has made...tens ofâ€¦']"
19,38,19_healthcare_executives_reporter_thompsonâ,"['healthcare', 'executives', 'reporter', 'thompsonâ', 'journalist', 'activist', 'celebrating', 'media', 'democrat', 'morgan']","['Be careful CEO of Enron, Taylor Lorenz ""felt joy"" when UnitedHealth CEO was shot by Luigi Mangione. \n\nSource: Lorenz Taylor\'s interview with Piers Morgan. It\'s on YouTube if you want to watch.', ""Taylor Lorenz tells Piers Morgan she felt 'joy' over killing of UnitedHealthcare CEO Brian Thompson"", 'Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO']"
20,37,20_support_sucks_innocent_diseased,"['support', 'sucks', 'innocent', 'diseased', 'bullshit', 'mourns', 'killed', 'instead', 'simps', 'quadriplegic']","['If Luigi got Kyleâ€™s judge, heâ€™d be walking free in no timeâ€¦ That little POS (Kyle) murdered folks with the overwhelming support of the rightâ€¦ he killed folks they all hated.\n\nThe other victim was a rich thief, of no redeeming value, whose kind the right loved.\n\nNo surprise', 'DP is fed up with the bullshit. Donâ€™t act like a jagoff and donâ€™t fuck with people and you wonâ€™t have problems.\n\nLuigi dealt with a guy who fuct over so many folks itâ€™s unimaginable. He was fed up too.\n\nPeople are fed up. Get over your fake christian pervert Osteen bullshit . âœ…', ""Kevin what's his name must be in Hell SO mad that no one mourns the wicked and only Simps and that lady in Altoona care he's gone.  didn't even stop the meeting he was on his way to!ðŸ«\xa0 \n\nToo bad, so sad. Luigi is innocent! I can change him! I know I can!ðŸ¤£""]"
21,35,21_healthcaredebate_death_ceos_die,"['healthcaredebate', 'death', 'ceos', 'die', 'slain', 'billionaires', 'suing', 'pension', 'embezzled', 'corporate']","['Hollywood (Florida) Firemenâ€™s Pension Fund lost a considerable amount of $, after Brian Thompson and his colleague dumped approx $120 million in stock. They were in the process of suing UHC, Thompson, and the colleague, when Luigi allegedly murdered BT and allegedly acted alone', 'I voted for Trump in 2016 and never voted again, and cowards like you whoâ€™re afraid to stop gargling corporate cock are the reason why. Itâ€™s not like Iâ€™ve said the CEO of Jiffy Lube was a bad guy and needs to be hurt. Brian Thompson personally and greatly profited off of anâ€¦', ""I don't know what these people want from me. I didn't do my happy-dance, I didn't throw a party...wtf do you think I am, anyway?\nLet me make this clear: fuck Brian Thompson. Fuck him and anyone that looks like him. Fuck every CEO that ever lived and if you don't like that, well..""]"
22,34,22_killed_healthcare_healthcareâ_involvement,"['killed', 'healthcare', 'healthcareâ', 'involvement', 'denials', 'denial', 'liberal', 'victim', 'assassin', 'deserved']","['Coded Message on bullets fired by #UnitedHealthcare CEO Brian Thompsonâ€™s assassin:\n\nâ€œdeny,â€\x9d â€œdepose,â€\x9d and â€œdefendâ€\x9d\n\nIt relates to a book by Jay M. Feinman called ""Delay, Deny, Defend, Why Insurance Companies Don\'t Pay Claims and What You Can Do About It""', 'Brian Thompson killer had the words â€œdeny,â€\x9d â€œdefendâ€\x9d â€œdeposeâ€\x9d on the shell casings that were left behind?\n\nObvious link to the 2010 book: Delay, Deny, Defend.\nWhy insurance companies donâ€™t pay claims and what you can do about it.\n\nSo this must be vigilante justice. They refusedâ€¦', ""NEW: Castings of the bullets that killed CEO Brian Thompson were inscribed with the words â€œdeny,â€\x9d â€œdefend,â€\x9d and â€œdepose.â€\x9d\n\nThe words are similar to the title of a 2010 book Delay, Deny, Defend: Why Insurance Companies Don't Pay Claims and What You Can Do About It, by Jay M.â€¦""]"
23,31,23_chairman_ceos_survival_cruel,"['chairman', 'ceos', 'survival', 'cruel', 'furious', 'chris', 'ruined', 'whose', 'guy', 'corporate']","['Then CEOs wonder why theyâ€™re marked.\n\n CEOs struggle to process their new reality after the public glee at Brian Thompsonâ€™s killing', 'If they arenâ€™t doing anything wrong or evil, they should have nothing to be afraid of.\n\n CEOs struggle to process their new reality after the public glee at Brian Thompsonâ€™s killing', 'James Harr of Comrade Workwear is making ""Most Wanted CEOs"" playing cards in the style of the US DIA cards from the 2003 Invasion of Iraq.\n\nThis is a troubling development. Harr went viral for celebrating the death of Brian Thompson and calling for more CEOs to be murdered.']"
24,24,24_martin_targeting_trayvon_literally,"['martin', 'targeting', 'trayvon', 'literally', 'guilt', 'loser', 'idiots', 'violent', 'horrific', 'idiot']","['Right-wingers are pissed that the left is happy a scumbag like Brian Thompson was killed. \n\nThe same people who are also ok with, \n\nTrump, the murder of people in Gaza, the fact Americans are under attack from the ruling class, minorities are at higher risk!\n\nFuck ALL of You!ðŸ–•', 'Wait... Is MAGA really trying to guilt trip people for celebrating the death of Brian Thompson who made millions based on how many people he could make suffer by denying them coverage at UHC?\n\nThe same MAGA that literally celebrates the murders of Trayvon Martin and George Floydâ€¦', 'Lol. Other host saying â€œwhereâ€™s chart for victims?â€\x9d. No, lady, donâ€™t ignore left was against Penny (racist!) & many were justifying Thompsonâ€™s murder. Iâ€™m sure most on left agree latter was horrific but still have to realize: this is what u created. If only mangione was GOP?']"
