Topic,Count,Name,Representation,Representative_Docs
10,20,10_assassin_wicked_execute_shouting,"['assassin', 'wicked', 'execute', 'shouting', 'hmmmm', 'epstein', 'already', 'luddite', 'aristocratic', 'ronin']","['dont forget jost is married to avowed zionist scarlett johansson, hence his loser weird (yet predictable) response at the luigi cheers seems even more gross', 'Monday night I fought for hours on Fakebook (on one of the GenX groups) against DoZEnS and DOzENs of people whose position was that Luigi was their hero. We’re so screwed when GenX is worshipping Marxist vigilantism l.', 'Luigi is just another toxic Bernie Bro turned Hubermanitarian eco fascist luddite accelerationist roided out gym rat supplement pilled chaser Trotskyite w washboard abs who refuses to elevate marginalized voices and probably hasn’t even seen Wicked']"
11,19,11_stalin_massacred_castro_murderer,"['stalin', 'massacred', 'castro', 'murderer', 'assassins', 'bloodied', 'communist', 'peasants', 'deported', 'mao']","['Yeah, you sound like Stalin. And Castro, and Mao. What you are, is a communist. It’s a shame New York doesn’t have the death penalty. Too bad Luigi didn’t do it here in Florida because we would give him the needle 💉 ☠️.', 'Apparently fans of the celebrity murderer want Kim Kardashian to be his celebrity lawyer and lobby the celebrity president for a pardon. We live in a deeply unserious time.', ""Earth to the undocumented: American citizens love raping (shout out to Donny), shooting their own (refer to Luigi Magione) for that reason you will not be deported. #USA has a poor record stopping domestic terror. Heck, blonde Christian Charles Whitman massacred students in '66.""]"
12,18,12_killed_murderer_manglione_cowardice,"['killed', 'murderer', 'manglione', 'cowardice', 'fuckhead', 'guilty', 'bomb', 'innocent', 'manifesto', 'assassin']","['In regards to Luigi Mangione. There are a ton of ways a person in his position can fight unjust practises in health care which isnt open to anyone. To SHOOT a person in the back is the dumbest way possible where longterm gain was replaced by extremely short term satisfaction.', ""why and how is luigi mangione pleading not guilty? obviously he is allowed to do that, but it makes no sense. \n\nnot only do they have fingerprint evidence, but they found him with the weapon and the manifesto. the manifesto implies the crime is something he wants credit for. i'm…"", ""why and how is luigi mangione pleading not guilty? not only do they have fingerprint evidence, but they found him with the weapon and the manifesto. the manifesto implies the crime is something he wants credit for. i'm very confused. \n\ni'd love for someone who knows more about…""]"
13,18,13_luigimangione_luigimanigone_hero_machismo,"['luigimangione', 'luigimanigone', 'hero', 'machismo', 'nick', 'bruno', 'batman', 'madrigal', 'jacked', 'manigone']","[""Luigi Mangione's father is the owner of a multi million dollar real estate empire. Luigi is his heir. He grew up in luxury & wealth. These people are fucking retarded."", ""Luigi Mangione can kiss his of days of joy and bliss goodbye after he stupidly plotted to shoot a man in the back and kill him. Mangione won't be skateboarding anytime soon in prison, after getting a life sentence for murder. F--k him!"", ""Ted Kaczynski had more machismo in one finger than Luigi Manigone has in his whole body. It's not even close, from his manifesto, time on lam and body count. It's not even close. #LuigiManigone #tedkaczynski""]"
14,17,14_alfred_subway_billionare_laden,"['alfred', 'subway', 'billionare', 'laden', 'carlos', 'twitter', 'bravely', 'mentally', 'prophetic', 'murderous']","['🎯 Carlos the Jackal, Osama bin Laden & Luigi Mangione are proof that ""rich kids jacked up on radical, nihilistic philosophies can cause a lot of harm, not least to the ... folks whose interests they pretend to champion""', ""Completely backwards take - Neely bravely subdued and killed a violent man threatening to kill others on the subway.\n\nMangione seems to be a mentally ill man who decided to kill a totally innocent man who's also a father. \nThe CEO certainly can't be blamed for all the issues or…"", 'Kyle tried to hunt humans.\n\nKyle got caught trying to hunt humans. \n\nKyle killed humans who realized they were being hunted and tried to defend themselves. \n\nKyle is a murderous sack of shit. \nMangione is a murderous sack of shit.']"
15,16,15_killer_killed_mayor_assassin,"['killer', 'killed', 'mayor', 'assassin', 'hero', 'gunman', 'grimace', 'condolences', 'healthcare', 'rich']","['NYC Mayor Eric Adams on his decision to escort Luigi Mangione in Manhattan:\n\n“I’m not going to just allow him into the city. I wanted to look him in the eye and say you carried out this terroristic act in my city, the city that the people of New York love”', ""An innocent face with a murderous mindset by name Luigi Mangione.\n\nKilled the United healthcare CEO\n\nWas caught and held at McDonald's\n\nTo be interrogated by the NYPD\n\nI smell Prison!!!\n\nMore details coming up soon as he's in the police custody"", 'The brig “Russia” in the waters of the Neva River seen during Scarlet Sails alumni holiday in St. Petersburg - 4th of July Independence Day in USA - Sumo wrestlers visit the Lincoln Memorial in Washington - Luigi Mangione, murderer of UnitedHealth Group executive Brian Thompson.']"
16,15,16_mario_prince_operate_rampage,"['mario', 'prince', 'operate', 'rampage', 'scum', 'detailed', 'strategy', 'gotta', 'screaming', 'proven']","[""I'll keep it simple: if the CEO of a health insurance company had chased Luigi Mangione across a dark parking lot screaming death threats at him, Luigi would have been justified in ventilating that guy.\n\nBut the CEO didn't.\n\nSo Luigi wasn't."", ""is Sunny trying to justify what Luigi did? Does her hubby operate when he knows they don't have insurance or find out after the operation that there's an issue & go after the insurance company? She just made him sound like some sort of saint. She has no empathy for…"", ""Is that your strategy when you get destroyed in a debate? You ask a nonsensical question that doesn't even apply here. You dumbasses think he was robin hood when he was just the spoiled prince out to make a name for himself. They'll hire a new CEO and Luigi will die in prison 🤷\u200d♂️""]"
17,14,17_luigimangioni_ethical_ruling_honestly,"['luigimangioni', 'ethical', 'ruling', 'honestly', 'abuse', 'faced', 'literally', 'julia', 'ceoassassination', 'fired']","['BREAKING: UPenn has announced that a retraction from Professor Julia Alekseyeva who celebrated the alleged UHC CEO assassin calling him an “icon,” is sufficient and she will not be fired.\n\nThis is absolutely ridiculous. Her teaching students is how we get to a Luigi Mangione.', 'Luigi Mangione is another one of these 1% of the 1% trust fund babies playing revolutionary railing against system. His entire family is well connected in Maryland and richer than the CEO he shot. \n\nCosplaying like this would have made him a twitch streamer.', 'The plot thickens. Rich kid gone rouge.🤨 ""Several Maryland nursing homes operated by the family of Luigi Mangione reportedly faced abuse and health violations, according to two reports from the Department of Health and Human Services.""']"
18,14,18_psychotic_character_rage_snippy,"['psychotic', 'character', 'rage', 'snippy', 'whooping', 'moral', 'crystal', 'convinced', 'however', 'fuck']","['So this Luigi guy is just a highly educated Dom Poes who does not bathe and only has one set of clothes? Oh, he also waves guns around in fast food outlets. This shit makes no sense at all! #LuigiMangione', 'The more I find out about this Luigi character, the more convinced i become that he basically consumed more psychedelic substances than his brain was able to manage & had a psychotic snippy-snap & decided that he was basically Samuel Witwicky IRL(however you spell it)', 'Luigi needed good parenting, a good figurative azz-whooping, and a JOB. \n\nInstead, he was coddled & funded in his dangerous misery by Liberal Microcosms of Society,\n\nwho are hell-bent on keeping vulnerable people poorly-informed & rage-fueled,\n\nbc that’s the only real way they,…']"
19,13,19_executions_murdering_mike_joe,"['executions', 'murdering', 'mike', 'joe', 'fighting', 'atrocity', 'exactly', 'summary', 'shoots', 'torture']","['Sickening footage shows moment assassin shoots dead health insurance boss outside NYC hotel  via  As usual the Antifa gear and a killing. Why are people allowed to dress. After the government enabled BLM burning down of the country .', 'He supports the murder of Brian Thompson and supports the rape, murder, torture, and kidnapping of innocent Jews on October 7. It’s not surprising he hates women generally.\n\nThe part that will never cease to surprise me is he does all this while purportedly fighting “bigotry.”', ""Barack Obama's violent activist.\nReal Motive-Obamacare feared\nUnitedHealth taking Obamacare business. Best let Luigi tell citizens that UHealth is bad. Get nation in uproar. Luigi orders from Obama “ Fix it-Luigi then jihad.” 14 yrold girl in WI radicalized to Jihad""]"
20,13,20_scott_killed_justice_police,"['scott', 'killed', 'justice', 'police', 'rich', 'lmfaooooo', 'fan', 'either', 'guy', 'fucking']","['“Nice try, Luigi. Those insurance companies are still gonna cover those prescriptions and get me PAID”', 'Luigi will be spending next Christmas either in jail or dead so that’s cool too', 'It’s insane really \n\nI take solace in the fact it doesn’t fucking matter what they think at the end of the day. Kyle was released & Luigi will be spending eternity behind bars']"
21,12,21_clowns_idols_santa_idolize,"['clowns', 'idols', 'santa', 'idolize', 'comic', 'schizophrenic', 'right', 'protest', 'crisis', 'zealotry']","['My diagnosis of depraved celebrations of Luigi Mangione, especially on college campuses:\n\nFor the past year, the anti-Israel FAR left has decided that ‘all resistance is justified.’\n\nThe world is divided into two buckets, sans nuance: oppressor and oppressed. Capitalist CEOs are…', 'American Left has no right to celebrate Luigi Mangione.\n\nLuigi is here because the Left failed to do its job.\n\nA powerful Left base could have been built among the masses after 2008 financial crisis.\n\nLeftists decided focus on Feminism and Transgenderism instead.', 'The case of Luigi Mangione is the perfect example of what drives left wing zealotry.\n\nHe was a normal, successful dude. Once he got a debilitating back injury, he became impotent in relation to society. He became angry, hate-filled & resentful. Needed to blame others. Leftist.']"
22,11,22_murderer_jesus_blame_lives,"['murderer', 'jesus', 'blame', 'lives', 'lunatics', 'christ', 'man', 'narrative', 'hahaha', 'ted']","['Al Julani read Why Nations Fail and reconquer his country. Luigi read Ted Kaczynski and shoot a CEO with a silencer equipped gun. I can understand why women wants a a man who read now.', 'Republicans - \n\n“Stop glorifying Luigi Mangione, he’s a murderer”\n\nAlso Republicans - \n\n“Leave Kyle Rittenhouse alone, he’s an American Hero”\n\nAlso Republicans - \n\n“Don’t judge me for voting for a Convicted Felon, Adjudicated Rapist and Self Admitted Sexual Predator.\nI’m right…', 'It’s only a matter of time before Luigi Mangione gets the “Ted Bundy treatment.” Watch how they frame him: the troubled genius, the misunderstood idealist, the product of a broken system. The media loves a narrative that absolves guilt and redirects blame.\n\nSoon, it won’t be…']"
23,9,23_luigimangione_luigimangioni_luigiman_brianthompson,"['luigimangione', 'luigimangioni', 'luigiman', 'brianthompson', 'shapiro', 'concerned', 'killer', 'sell', 'themed', 'dj']","['Pennsylvania Governor Josh Shapiro goes off on people who are celebrating Luigi Mangione for allegedly murdering UnitedHealthcare CEO Brian Thompson.\n\n""In America, we do not kill people in cold blood to resolve policy differences or to express a viewpoint.""\n\nHe calls it…', ""“Mangione also subscribed to anti-capitalist and climate-change causes.” \n\nWhen are we going to hold the media and left wing politicians accountable for creating these people.\n\nLuigi Mangione ID'd as suspect in UnitedHealthcare CEO Brian Thompson killing"", 'The fact that Luigi Mangione had no personal ties to UnitedHealthcare makes this senseless act of violence even more disturbing. We need to come together as a society to address the root causes of these tragedies and work towards creating a better, more compassionate healthcare…']"
24,7,24_rittenhouse_killer_murderer_murdering,"['rittenhouse', 'killer', 'murderer', 'murdering', 'innocent', 'else', 'mob', 'shot', 'manslaughter', 'hope']","[""Those who applaud Luigi Mangione for murdering Brian Thompson and are even collecting funds for his defense are the same ones who want Sebastián Zapeta to be executed for murdering Jane Doe. It's just an observation, don't get angry."", ""Context is always subjective. Some people might think you're trying to kill them because you work for an industry they were hurt by. When you condone this attitude, nobody is safe. We could all become unknowing targets of deranged killers who feel emboldened by you & Mangione."", ""Rats and Snitches! Mob Turns on McDonald's Where CEO Killer Was Captured - Todd Starnes. Perhaps the mob would be ok with Mangione killing anyone else. They are fools and ignorant ones too""]"
