Topic,Count,Name,Representation,Representative_Docs
0,116,0_family_killer_murderer_died,"['family', 'killer', 'murderer', 'died', 'children', 'kids', 'killed', 'school', 'rip', 'nobody']","['Brian Thompson didn’t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say you’re “joyful” or in any way happy his death happened is disgusting.', 'A CEO that never sees the people that get claims denied can\'t be defined as a murderer. Brian Thompson didn\'t go to work each day with a ""how many people can I intentionally kill today"" mindset and for you to malign him as such is disgusting. Idolizing his killer even more so.', ""You are retarded man. U can't kill people because u don't like their policies. I didn't even know who Brian Thompson was 2 weeks ago. He's a victim of murder and has a family. We aren't going to have a society where people are getting killed for doing their jobs.""]"
1,101,1_luigimangione_murderer_killer_hero,"['luigimangione', 'murderer', 'killer', 'hero', 'mangioni', 'innocent', 'murdering', 'killed', 'deserves', 'sister']","['NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", ""Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved,' the family said.""]"
2,98,2_brianthompson_assassinated_unitedhealthcareceo_condolences,"['brianthompson', 'assassinated', 'unitedhealthcareceo', 'condolences', 'leader', 'suspect', 'tragic', 'tragedy', 'executive', 'andrew']","['The leader of UnitedHealth Group conceded that the patchwork U.S. health system “does not work as well as it should” but said Friday that the insurance executive gunned down on a Manhattan sidewalk cared about customers and was working to make it better.', 'The leader of UnitedHealth Group wrote that the health insurance executive gunned down on a Manhattan sidewalk last week cared about consumers and was working to make the system better.', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']"
3,60,3_insurance_condolences_sympathy_alvin,"['insurance', 'condolences', 'sympathy', 'alvin', 'news', 'assassin', 'tragic', 'shot', 'bullets', 'death']","['I’m horrified by the assassination of my constituent, Brian Thompson, this morning in NYC and have his family in my prayers.', 'Prayers for Brian Thompson’s family. This is such a tragedy. I’m only speculating but would not be surprised for us to find out the shooter lost a loved one over denied coverage by #UNITEDHEATHCARE \n\nVery sad day. 🙏🙏🙏', ""It's sad to see that UHC CEO Brian Thompson was shot to death today. It's unthinkable. \n\nWhat's worse is that in today's NYC, if he had been able to take down the assassin and chokehold him until police arrived, he'd eventually be facing an unfair trial like Daniel Penny.""]"
4,53,4_murderer_healthcare_senator_killed,"['murderer', 'healthcare', 'senator', 'killed', 'insurer', 'insurance', 'condolences', 'medical', 'health', 'care']","['Brian Thompson was a human being who came up from a small farm town and made it all the way up to CEO of a healthcare company. He wasn’t even the founder, he had a wife and children, just because you don’t like the healthcare industry does not mean an innocent man had to die.', ""I feel sorry for Brian Thompson and his family. I never condone violence, especially a cold-blooded murder.\n\nThat said, these billion dollar, often greedy, insurance companies impact a lot of people's lives in a deeply personal way.\n\nThey make it their mission to deny as many…"", 'It’s disgusting to see people in the replies justifying a shooting because the victim was a CEO of an insurance company.\n\nHe’s still a person. \nA wife still lost her husband. \nKids without a father (if he has kids, I don’t know)\n\nBe better.']"
5,52,5_sympathy_died_killed_unitedhealth,"['sympathy', 'died', 'killed', 'unitedhealth', 'healthcare', 'dead', 'insurance', 'slain', 'saddened', 'innocent']","[""Words found on shell casings where UnitedHealthcare CEO was shot dead, senior law enforcement official says  \n\nI don't care what you think of United HealthCare, but what a stunning and sickening act of violence against Brian Thompson, the CEO of UHC. Even…"", 'Someone sent me a TikTok with music (Dead or Alive-BonJovi) celebrating the United CEO’s death. I just feel it’s distasteful. Especially seeing the thousands limes. #TikTok #SocialMedia #UnitedHealthcare #unitedhealthcareceo #unitedhealthceo #ImEvilEdwin🇺🇸', 'Unhinged leftist says the UnitedHealthcare CEO was a billionaire who was responsible for the de*ths of millions so you shouldn’t feel bad for his family.\n\nSo now even innocent family members deserve to suffer?\n\nThis woman is deranged. Couldn’t tell by the glasses and nose ring.']"
