Topic,Count,Name,Representation,Representative_Docs
0,21,0_unitedhealth_healthcare_hospitals_tricare,"['unitedhealth', 'healthcare', 'hospitals', 'tricare', 'compassionate', 'healthy', 'united', 'leadership', 'insights', 'alike']","['UnitedHealthcare (UHC) offers a food benefit that provides a monthly credit to help pay for healthy food and over-the-counter (OTC) products. The credit is loaded onto a UCard, which can be used at participating stores or online.', 'Gear up like an assassin, but this time with healthcare on your side. 🗡️💊 Show off your stealthy style with the Assassin’s Creed UnitedHealthcare! Perfect for gamers and healthcare warriors alike. 🖤 Grab yours now! 👉', 'Got a new job and I get benefits imma make this money then use those benefits to have the surgery on my knees that I’ve needed for years 😭 been walking around with a torn LCL, ACL, meniscus, patellar tendon, and broken foot for 2 years I’m so happy rn ily Luigi.']"
1,20,1_died_healthcare_ceos_warren,"['died', 'healthcare', 'ceos', 'warren', 'care', 'god', 'celebrity', 'fakenews', 'support', 'politicians']","['Ron, you gotta check yourself. Tweeting all this anti-Brian Thompson/United Healthcare stuff right now appears to justify his killing. I get being anti-corporate greed but justifying the murder of a CEO (esp. without knowing nothing about him) is plain wrong', 'Brian Thompson was one of the many CEOs of the departments below you have to understand that. the media never looks into anything and they deliberately on purpose lie to you. the CEO of United healthcare was knighted by Queen Elizabeth!!!', ""I guess little fella didn't learn. He constantly demonizes CEOs. Brian Thompson CEO of United Healthcare was MURDERED yesterday in NYC. Instead of giving it a rest little fella doubles down on disparaging another CEO. Looks like litter fella won't stop until all CEOs are murdered""]"
2,18,2_healthcare_claim_hypocrite_executive,"['healthcare', 'claim', 'hypocrite', 'executive', 'said', 'activists', 'compassion', 'kill', 'killer', 'wealth']","['The idea that Brian Thompson deserved to die because he was a rich healthcare executive appears to be...a disturbingly popular sentiment. You cannot claim to be the movement of compassion & tolerance while gleefully celebrating a dad of two getting shot to death. So vile.', 'Brian Thompson was a chad actual middle class dude who earned generational wealth wealth for his wife and kids. Can’t say the same for the socialists celebrating his death who might lose their healthcare and will see their precious Gaza turn to rubble', 'A CEO that never sees the people that get claims denied can\'t be defined as a murderer. Brian Thompson didn\'t go to work each day with a ""how many people can I intentionally kill today"" mindset and for you to malign him as such is disgusting. Idolizing his killer even more so.']"
3,14,3_obamacare_insurance_demise_care,"['obamacare', 'insurance', 'demise', 'care', 'justification', 'empathy', 'facilitated', 'condone', 'justified', 'edgy']","['Obviously, there\'s a ton we do not know about the Unitedhealthcare (alleged) shooter.\n\nWhat we do know already: all those progressives who cheered it and hoped - yes, hoped - it would be a ""justified"" killing, a denied care tit-for-tat, have humiliated themselves yet again.', 'It’s atrocious that anyone is defending the murder of the UnitedHealthcare CEO as some kind of blow against private health insurance. Government-designed insurance under Obamacare has been a disaster—higher costs for worse outcomes and less access to care.', 'Chris Murphy…. “I’m never going to condone gun violence”…. Then goes on to basically justify the murder of the UnitedHealthCare CEO. \n\nHe also seems to forget that the insurance industry is heavily regulated in all they do due to the ObamaCare act which he voted for.']"
4,14,4_healthcare_victims_united_killed,"['healthcare', 'victims', 'united', 'killed', 'murdering', 'accountable', 'supporting', 'revolutionary', 'ali', 'perpetrator']","[""ABSOLUTELY DISGUSTING!\n\nFirst we had people publicly supporting Luigi Mangione, who brutally executed United Healthcare CEO Brian Thompson. NOW we have people making mock videos of the murder, as if the death is somehow funny. This was someone's father, brother, friend. And yet…"", 'Luigi grew up in privilege, was never even a customer of UHC, apparently did get treatment for his back.\n\nBrian Thompson grew up middle class and made his own way.\n\nLiberals are cheering on a coddled rich kid who murdered a good guy who worked for everything he had.', 'You are a very sad but typical liberal who blames the victims and will not hold the perpetrator accountable! You think the CEO of United Healthcare, who grew up in a middle to poor class family and made himself what he was today unlike the privileged murderer Luigi, had it coming…']"
5,14,5_istandwithunitedhealthcare_care_health_doctors,"['istandwithunitedhealthcare', 'care', 'health', 'doctors', 'insurance', 'policy', 'suffering', 'company', 'yall', 'news']","[""LUIGI MANGIONE is a dumb loser who murdered #UnitedHealthcare CEO Brian Thompson because he hurt his tard back due to sucking at surfing. He also eats McDonalds, is a weak drug addict and listens to Taylor Swift because he's a tard! #MAGA #FreeLuigi #IstandWithUnitedHealthcare"", ""🖕 Luigi and his family, he's a cowardly murderer who murdered an upper class man in cold blood in broad daylight, as for denying claims, I don't care, if your insurance company sucks go somewhere else instead of murdering the upper class"", ""I just want to thank Luigi Mangione for helping my husband take care of me the day after my cataract surgery. He was helping my husband do chores around the house on 12/04/24 while I was sleeping off the anesthesia. Such a kind soul who'd never do anything wrong.""]"
