Topic,Count,Name,Representation,Representative_Docs
0,374,0_luigimangione_hero_murderer_killer,"['luigimangione', 'hero', 'murderer', 'killer', 'poor', 'killed', 'murdering', 'penny', 'justice', 'ceos']","[""Fuck you corpo mouthpiece. It's not strange people support Luigi. I hope your whole family is denied health insurance every time they're sick. That ceo single handedly killed tens of thousands of our fellow citizens, yet bootlicker pos like you is defending him."", ""Ted Bundy killed innocent women.\n\nLuigi Mangione killed a multi-millionaire CEO of United Health Care who made his $millions denying health care coverage; UHC's business practices kill far more people each year than every serial killer who ever lived combined. Not cheering, BUT…"", 'Mangione killed one person.*\n\nThompson killed thousands.\n\nAnd you want people to feel bad for Thompson?\n\nCEOs, just like Thompson, killed thousands of people every year and are never held accountable. \n\nMangione is being held accountable.\n\n1000 > 1']"
1,366,1_murderer_deaths_killer_sympathy,"['murderer', 'deaths', 'killer', 'sympathy', 'died', 'killed', 'reason', 'rich', 'death', 'die']","['Brian Thompson killed way more people', 'Yes, Brian Thompson was a human being with a family. He was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year. \n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Brian Thompson had the blood of thousands of people just like this poor person’s family on his hands. he was just as much a killer as the man who shot him, he did it from behind a desk without ever having to face the people whose lives he was ending.']"
2,324,2_healthcare_ceos_medical_lawsuit,"['healthcare', 'ceos', 'medical', 'lawsuit', 'executives', 'health', 'insurance', 'medicare', 'fraud', 'patients']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.', 'You\'re insinuating the murder of Brian Thompson in NYC was justified? \n""Health insurance companies are responsible for the deaths of hundreds of thousands of Americans each each year and when denying claims and coverage for people who can’t always afford health insurance costs.""', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…']"
3,238,3_ceos_unitedhealth_medicare_healthcare,"['ceos', 'unitedhealth', 'medicare', 'healthcare', 'deaths', 'insurance', 'killer', 'greed', 'doctors', 'customers']","['Gee I wonder who would want to shoot this prick.\n\nAlgorithmic Denial of Care: UnitedHealthcare has been accused of employing an AI algorithm to override physician recommendations for extended care, leading to denials of coverage for patients who might benefit from post-acute care…', 'UnitedHealthcare CEO had been receiving death threats about ""lack of coverage"" his wife says\n\nA lawsuit filed in 2023 claims the company was using an AI model with 90% error rate to deny care', ""Lawsuit Filed Before Killing of UnitedHealthcare CEO Accused Insurance Giant of Using Faulty AI Tool to Deny Claims Approved by Doctors  \nIt's time to take a hard look at the insurance industry, and shut down the scam that it currently is.""]"
4,121,4_ceos_executives_profits_killer,"['ceos', 'executives', 'profits', 'killer', 'kill', 'profit', 'violence', 'breaking', 'death', 'sad']","['Be careful CEO of Enron, Taylor Lorenz ""felt joy"" when UnitedHealth CEO was shot by Luigi Mangione. \n\nSource: Lorenz Taylor\'s interview with Piers Morgan. It\'s on YouTube if you want to watch.', '🚨BREAKING: Taylor Lorenz says she felt “joy” over the UnitedHealthcare CEO getting shot.', 'Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO']"
