Topic,Count,Name,Representation,Representative_Docs
0,367,0_luigimangione_hero_murderer_killer,"['luigimangione', 'hero', 'murderer', 'killer', 'poor', 'killed', 'murdering', 'penny', 'ceos', 'justice']","['Free him! \n\nIf Daniel Penny & Kyle Rittenhouse can get away with murdering people without justification, so can Luigi Mangione.\n\nThe United Healthcare CEO was a parasite on society (just like every other billionaire) by using his money to deliberately cause harm and death on us!', ""Fuck you corpo mouthpiece. It's not strange people support Luigi. I hope your whole family is denied health insurance every time they're sick. That ceo single handedly killed tens of thousands of our fellow citizens, yet bootlicker pos like you is defending him."", ""Luigi is a hero for eliminating this vermin killer! He has a good chance of being acquitted since everyone knows someone who's been denied health insurance coverage and has suffered at the hands of insurance companies. Thompson was basically a killer of thousands. Good riddance.""]"
1,208,1_executives_insider_deaths_died,"['executives', 'insider', 'deaths', 'died', 'killed', 'profits', 'rich', 'death', 'corrupt', 'investors']","['United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to aâ€¦', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference. \n\nQ3815\n""What happens when people learn the TRUTH?â€¦', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)!']"
2,178,2_deaths_profit_ai_news,"['deaths', 'profit', 'ai', 'news', 'joy', 'praised', 'rich', 'claims', 'policies', 'fact']","['Brian Thompson had the blood of thousands of people just like this poor personâ€™s family on his hands. he was just as much a killer as the man who shot him, he did it from behind a desk without ever having to face the people whose lives he was ending.', ""I don't believe Brian Thompson deserved to be killed because of a bad experience my family had with an insurance company. I believe he deserved to be killed because he oversaw the mass murder of thousands of Americans.\n\nSome of us have empathy for people beyond our own families."", 'who cares man, brian thompson was responsible for so many deaths, denied so many people coverage, and used an ai with a 90% error rate to automatically deny people. i hope the assassin gets away with it']"
3,168,3_unitedhealth_ceos_unitedhealthcareâ_healthcare,"['unitedhealth', 'ceos', 'unitedhealthcareâ', 'healthcare', 'insurance', 'killer', 'greed', 'ceoâ', 'executive', 'brianthompson']","['CEO of one of the biggest healthcare insurance companies in the US, gets thr*ats on his life.\n\nNo one on the company board of directors says ""Let\'s hire security detail to protect him.""\n\nTells you all you need to know about #UnitedHealthcare\n\nThey don\'t ""care"" about him or you!', 'I think itâ€™s kinda crazy how the cops are on this massive manhunt for a man who killed 1 person, #BrianThompson CEO of #UnitedHealthcare , when that 1 person killed thousands of innocent, sick people by denying them treatment, and they never went after him!! ðŸ¤”', 'Iâ€™m not saying Iâ€™m okay with murdering people but you canâ€™t tell me this UnitedHealthCare shooter isnâ€™t someone who lost a loved one because UHC decided they know more than doctors and refused coverage for something life-saving. Karma ðŸ¤·ðŸ\x8f»â€\x8dâ™€ï¸\x8f']"
4,142,4_killed_sympathy_rich_thompsonâ,"['killed', 'sympathy', 'rich', 'thompsonâ', 'death', 'die', 'business', 'shooter', 'fuck', 'fraud']","['Brian Thompson was a millionaire who made his money off making sure people suffer\nDenying the care that they paid for\nMaking it next to impossible to get approved\nSo yeah\nWe have no empathy for someone like that\nWe cheer\nJust like when the movie villain gets whatâ€™s coming to him', 'Brian Thompson was not a decent man.\nHe was an evil, greedy man who committed social murder. He got filthy rich by denying care to the sick. Thousands of people are homeless, hurt, and dead just so he can make more in a year than most Americans make in their lifetimes.', 'I have ZERO sympathy for Brian Thompson or his family. I have been in a living hell for over a decade and barely surviving. My credit ruined, my business ruined, my fucking life ruined so they can make millions. Fuck them, I dgaf. ðŸ–•']"
5,128,5_unitedhealthcareâ_healthcare_insurance_insurers,"['unitedhealthcareâ', 'healthcare', 'insurance', 'insurers', 'health', 'doctors', 'medical', 'profits', 'medicare', 'lawsuit']","['UnitedHealthcare has been accused of using an AI algorithm, specifically nH Predict, to deny claims for post-acute care under Medicare Advantage plans. \n\nThis AI reportedly has a 90% error rate, leading to wrongful denials of care that physicians had deemed necessary. \n\nTheseâ€¦', 'UnitedHealthcare CEO had been receiving death threats about ""lack of coverage"" his wife says\n\nA lawsuit filed in 2023 claims the company was using an AI model with 90% error rate to deny care', ""Lawsuit Filed Before Killing of UnitedHealthcare CEO Accused Insurance Giant of Using Faulty AI Tool to Deny Claims Approved by Doctors  \nIt's time to take a hard look at the insurance industry, and shut down the scam that it currently is.""]"
6,105,6_ceos_healthcare_victims_killer,"['ceos', 'healthcare', 'victims', 'killer', 'billionaires', 'death', 'die', 'medicare', 'pension', 'moral']","['brian thompson was literally a mass murderer protected by the corporate state, yet people are comparing luigi mangione to ted bundy.\n\nup to 190,000 a year die from this travesty called US healthcare, yet some cry for a CEO who made $10M\nlast year for denying americans coverage.', ""I don't know what these people want from me. I didn't do my happy-dance, I didn't throw a party...wtf do you think I am, anyway?\nLet me make this clear: fuck Brian Thompson. Fuck him and anyone that looks like him. Fuck every CEO that ever lived and if you don't like that, well.."", 'Brian Thompson was paid $9,000,000 every year 4 being a serial killer.\nWhat he and his company UnitedHealth does kills many many people & makes even more suffer. 4 greed.\nThat is truly despicable.\nI bet you think Charles Manson was just a fun guy & Hitler made trains run on time.']"
7,72,7_healthcare_ceos_medical_care,"['healthcare', 'ceos', 'medical', 'care', 'patients', 'died', 'executive', 'hospital', 'sympathy', 'obama']","['Right-wingers are pissed that the left is happy a scumbag like Brian Thompson was killed. \n\nThe same people who are also ok with, \n\nTrump, the murder of people in Gaza, the fact Americans are under attack from the ruling class, minorities are at higher risk!\n\nFuck ALL of You!ðŸ–•', 'Nurses spend their lives trying to heal people. So when they say things like:\n\n""Fuck Brian Thompson. I truly do not give a shit he was killed, nor do I have sympathy for his family - they can get fucked too. My patients died while those bitches enjoyed 26 million dollars.""', 'Letâ€™s get this straight. \n\nSince the left is actually celebrating the death of United Healthcareâ€™s CEO Brian Thompson, the lack of outcry for gun control is deafening. \n\nIf they really mean what they say, the left has to change their whole stance on guns. \n\nOr is it aâ€¦']"
8,55,8_healthcare_ceos_thompsonâ_executives,"['healthcare', 'ceos', 'thompsonâ', 'executives', 'reporter', 'foxnews', 'executed', 'journalist', 'activist', 'dead']","['Be careful CEO of Enron, Taylor Lorenz ""felt joy"" when UnitedHealth CEO was shot by Luigi Mangione. \n\nSource: Lorenz Taylor\'s interview with Piers Morgan. It\'s on YouTube if you want to watch.', ""Taylor Lorenz tells Piers Morgan she felt 'joy' over killing of UnitedHealthcare CEO Brian Thompson"", 'Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO']"
