Topic,Count,Name,Representation,Representative_Docs
10,22,10_reformhealthcare_universalhealthcare_unitedhealth_healthcare,"['reformhealthcare', 'universalhealthcare', 'unitedhealth', 'healthcare', 'insurer', 'insurance', 'pep', 'health', 'tragic', 'nationwide']","[""We are saddened by the murder of UnitedHealthcare's CEO & struck by nationwide health insurance frustrations. We are committed to helping IBD patients navigate health insurance complexities. Read more for tips on solving insurance-related challenges."", ""UnitedHealth Group $UNH is navigating challenges following the tragic loss of UnitedHealthcare CEO Brian Thompson. CEO Andrew Witty acknowledges the healthcare system's flaws and emphasizes the company's commitment to improvements."", '🚨🇺🇸 NEW UHC CEO PRAISES MURDERED CEO AS A “HEALTHCARE LEGEND”\n\nIn a leaked pep talk to staff, UnitedHealth Group CEO Andrew Witty praised slain CEO Brian Thompson as a titan of healthcare, claiming he had one of the “biggest effects” on the industry—despite ongoing accusations…']"
11,20,11_healthcare_ceos_death_condolences,"['healthcare', 'ceos', 'death', 'condolences', 'corporations', 'sympathy', 'hospitals', 'founder', 'pandemic', 'grieving']","['Condolences to Brian Thompson’s family & to all the families of the CEOs & major shareholders of predatory corporations who might be murdered in the coming months. Many millions might be killed in this process, condolences to those as well.', 'Washington Post on Brian Thompson as a well liked, hard working man who tried to provide better service to customers while avoiding the public limelight.\n\nHe helped keep thousands of hospitals and healthcare providers open during the pandemic by getting then emergency relief from…', ""Brian Thompson came from a working class family & grew his way into the upper class by running a company legally operating in an over regulated industry\n\nHe was killed by a trust fund baby from the top 1% who's family could have paid out of pocket for any necessary medical care""]"
12,19,12_unitedheathcare_tragic_alvin_wtf,"['unitedheathcare', 'tragic', 'alvin', 'wtf', 'savior', 'cancer', 'whose', 'caused', 'thh', 'disgraceful']","['Good morning, yall. 🤗🙏\n\nI cannot imagine what those who lost loved ones are feeling yesterday. Praying for comfort and peace. \n\nGuns are not the problem. \nThe hypocrisy of the left calling it out here and not when Luigi murd3red that man in cold blood shows their evil…', 'Praying for the family of Brian Thompson. \n\nAn apparent targeted murder was carried out in one of the safest neighborhoods in NYC while our disgraceful DA Alvin Bragg has abdicated his responsibility in favor of political crusades and locking up hero Daniel Penny. \n\nVote him out.', 'Anyone, and I mean anyone celebrating the tragic end of Brian Thompson is a hypocrite, a cancer on society, or both. Yes, they need prayer, although they probably also need the kind of corrective discipline their parents likely were too liberated to afford them the benefit of…']"
13,17,13_killer_fatally_executive_assassin,"['killer', 'fatally', 'executive', 'assassin', 'news', 'officials', 'cia', 'corp', 'shot', 'fakenews']","['UnitedHealthcare CEO fatally shot in Midtown was “targeted” and shot on that particular block? There’s enough surveillance footage to determine he was targeted but no description of the suspect yet?\n\nThis is troubling and prayers are with his family.', 'The leader of UnitedHealth Group conceded that the patchwork U.S. health system “does not work as well as it should” but said Friday that the insurance executive gunned down on a Manhattan sidewalk cared about customers and was working to make it better.', 'The leader of UnitedHealth Group wrote that the health insurance executive gunned down on a Manhattan sidewalk last week cared about consumers and was working to make the system better.']"
14,16,14_healthcare_warren_insurance_sanders,"['healthcare', 'warren', 'insurance', 'sanders', 'united', 'neill', 'martyrs', 'chief', 'acknowledging', 'importantly']","[""Sen. Elizabeth Warren condemned the assassination of UnitedHealthcare CEO Brian Thompson, acknowledging the frustration many feel toward insurance companies. While she stressed that violence is never justified, she noted it's a warning for the healthcare system. The tragedy…"", 'Jacqui my big request is that you stop referring to it as the “shooting of the United Healthcare CEO”. His name was Brian Thompson. A good man whom I knew. If you’re going to drop the name from the story, please drop the shooter’s name not the victim’s!', 'It is a sign of the repercussions of the CDC, Fauci et al lying to us in regard to #Covid_19. It has born a distrust in healthcare in general, however I find it highly disturbing, the remarks people are making re: Brian Thompson. Let me say; You nor I knew him personally or even…']"
15,16,15_posthumously_founders_breakingnews_rip,"['posthumously', 'founders', 'breakingnews', 'rip', 'pete', 'sad', 'ben', 'son', 'forgotten', 'ripbozo']","['Fun socks: on\n\nPant legs: rolled up past ankle\n\nPatagonia vest: unzipped\n\nEmails: replied ""yes Massa""\n\nYup, I\'m thinkin it\'s time to posthumously fellate Brian Thompson', 'Good morning everyone $GME\n\nHappy Hump Day #wednesdayfeelings \n\nRIP Brian Thompson! #BreakingNews \n\nKeep Fighting Pete Hegseth! \n\nSpotify Wrapped or Apple Music Replay? #SpotifyWrapped2024 #SpotifyWrapped #AppleMusicReplay', 'The annual appearance of the holiday suits marks a joyous end of another year in our cycle of free monthly events. Big props to our co-founders Ben Thoma  and Brian Thompson  for donning their festive attire! #CMcycle #CMATX']"
16,14,16_brianthompson_assassin_died_shot,"['brianthompson', 'assassin', 'died', 'shot', 'brutally', 'threatening', 'gunshot', 'sadly', 'threats', 'seth']","[""NYC should pay damages to the family of Brian Thompson. Criminals there are emboldened by unarmed citizens. The assassin could have just waited outside Brian Thompson's home in Minnesota EXCEPT lot's of Minnesotans carry a gun. But no one returns fire in New York City."", 'Must-Listen: Civil Rights Commissioner Peter Kirsanow blasts BLM for their calls for protesting the Daniel Penny verdict, and offers analysis of the murder of UHC CEO Brian Thompson--along with the evil reactions of those who actually support the murderer and condemn the victim.…', ""It's sad to see that UHC CEO Brian Thompson was shot to death today. It's unthinkable. \n\nWhat's worse is that in today's NYC, if he had been able to take down the assassin and chokehold him until police arrived, he'd eventually be facing an unfair trial like Daniel Penny.""]"
17,11,17_murderer_healthcare_executed_insurance,"['murderer', 'healthcare', 'executed', 'insurance', 'moore', 'michael', 'healthinsurance', 'addressed', 'lives', 'accountable']","['Amen! It’s sickening to see people glorifying the cold-blooded killing of Brian Thompson—a man who embodied the American dream. If you’re upset with the healthcare system, work to change it. Stop celebrating a madman.', 'Every elected official should categorically condemn the cold-blooded assassination of Brian Thompson, the CEO of United Healthcare. There should be no conditional language. No “if.” No “but.” There should be nothing resembling a rationalization of political violence. \n\nIf…', ""I feel sorry for Brian Thompson and his family. I never condone violence, especially a cold-blooded murder.\n\nThat said, these billion dollar, often greedy, insurance companies impact a lot of people's lives in a deeply personal way.\n\nThey make it their mission to deny as many…""]"
18,11,18_sympathizing_unforgivable_orphans_pathetic,"['sympathizing', 'unforgivable', 'orphans', 'pathetic', 'ehc', 'politicians', 'article', 'kids', 'lobbied', 'bs']","['Brian Thompson’s story shows everything the Left claims to fight for but refuses to celebrate. He grew up in small-town Iowa, the son of a beautician and a grain elevator worker. He worked summers in soybean fields and meatpacking plants, graduated valedictorian of his 50-person…', 'I asked GROK to tell me about the background of assassinated UHC CEO Brian Thompson. He came from a working/middle class background, grew up in an Iowa town with a population of 1,216 as of 2020. HS valedictorian, 1993. Went to the University of Iowa. \n\nVery different from the…', 'Brian Thompson was from a small town in Iowa of 1200 people and graduated with a BS Biz & Accounting degree from the U of Iowa. He literally just worked his way up the corporate ladder. He lived in a mostly middle class suburb and his kids go to a public school.']"
19,11,19_victims_wealthy_killed_wife,"['victims', 'wealthy', 'killed', 'wife', 'fortunate', 'jimmy', 'dad', 'murders', 'funeral', 'despicable']","['Charlamagne on UnitedHealthcare CEO Brian Thompson murder: ""I don’t understand why people are celebrating him being killed because at the end of the day ... he’s dead. His kids don’t got no father ... why are you happy about him being gunned down like that? It’s just weird where…', 'Charlamagne tha God slammed people celebrating the cold-blooded assassination of UnitedHealthcare CEO Brian Thompson — and delivered a reality check about its larger meaning.\n\n“I don’t understand why people are celebrating him being killed,” the radio host said Friday on his show…', 'Former Washington Post reporter Taylor Lorenz expressed ""joy"" over the killing of UnitedHealthcare CEO Brian Thompson, sparking outrage. Celebrating tragedy is a bold choice—especially when it leaves two kids without a dad. Let’s hope we can find empathy…']"
20,9,20_killer_disgruntled_thoughtsandprayers_family,"['killer', 'disgruntled', 'thoughtsandprayers', 'family', 'fired', 'customer', 'godspeed', 'case', 'reportedly', 'member']","['In order for the silencer to work the shooter fired subsonic bullets. Subsonic bullets don’t eject themselves. He had to manually eject it after each shot. Killer is a professional.\nRIP Brian Thompson. Prayers for him and his family. This was horrific! 😢\n…', ""First off...condolences to Brian Thompson's family. \n\nSaw the unblurred video floating around. Supressed pistol in a calm user's hands. Either it's 100% a hit or crackheads have expensive hobbies in NYC \n\nVideo in comments so those that don't want to watch can skip it."", 'My #ThoughtsAndPrayers go out to Brian Thompson and his family.\nIt’s amazing that 80 law enforcement agencies were utilized to track down this killer. \nKind of like when they used 80 law enforcement agencies to track down the people who caused the 2008 economic collapse…']"
21,9,21_death_brutally_dead_healthcare,"['death', 'brutally', 'dead', 'healthcare', 'executed', 'brother', 'injury', 'grimace', 'celebrity', 'suffering']","['My heart goes out to #BrianThompson, the #CEO of #UnitedHealthCare, his family & friends. No one had the right to take his life. \n\nMy heart goes out to #LuigiMangione. I understand the toll of #chronicpain, of chronic #health issues; the physical suffering, the emotional 2', ""ABSOLUTELY DISGUSTING!\n\nFirst we had people publicly supporting Luigi Mangione, who brutally executed United Healthcare CEO Brian Thompson. NOW we have people making mock videos of the murder, as if the death is somehow funny. This was someone's father, brother, friend. And yet…"", 'An actual newspaper would have facts, not random crap like “Luigi’s Unhappy Meal” and “Grimace Reaper”. He executed a father of 2 from behind and NY Post is trying to make McDonald’s puns for a cheap laugh at the expense of the family. Hope this helps.']"
22,6,22_killed_victim_devastating_heart,"['killed', 'victim', 'devastating', 'heart', 'prayers', 'widow', 'guy', 'hope', 'news', 'much']","['art tbh \n\nstill not feeling particularly bad for the man, just his kids.. if he had kids', 'Brian Thompson is the latest victim of the rampant #Antisemitism that has been sweeping America since #October7th. Thoughts and prayers for him and his family, alav ha-shalom. #StopAntisemitism #BrianThompsom #SayHisName', ""Brian Thompson made it in life from humble/modest background and barely got to enjoy much of it before he was killed. he'll never see his boys get married or meet his grandkids. had his whole life ahead of him before it was abruptly cut short. and for nothing.""]"
23,5,23_death_alvin_healthcare_news,"['death', 'alvin', 'healthcare', 'news', 'prayers', 'journalist', 'ben', 'righteous', 'happened', 'sad']","[""Where's Daniel Penny when you need him?\n\nMen like him might have saved men like CEO Brian Thompson.\n\nOh... leftist Democrat rotten scumbags like Alvin Bragg and Dafna Yoran have him locked up for fighting crazed criminals."", 'WHY DID THE LEFT ABANDON BRIAN THOMPSON?? HE GAVE KAMALA HARRIS $774,019 IN 2024.', 'Very sad the lefties abandoned Brian Thompson. He gave Kamala Harris $774,019 in 2024.']"
24,5,24_prayers_scary_assassin_frightening,"['prayers', 'scary', 'assassin', 'frightening', 'sons', 'tragic', 'healthcare', 'horrifying', 'care', 'family']","['This is scary, tragic news…that this can happen on a Manhattan street while on a business trip is frightening. Prayers up for Brian Thompson’s wife, sons, other loved ones back in Minnesota & UnitedHealthcare colleagues. 💔🙏🏼', 'I didn’t anticipate passing an assassin as I entered the midtown Hilton this morning at 6:50 am for a conference (and I didn’t hear the shooting behind me - the gunman had a silencer). Prayers to #unitedhealthcare CEO Brian Thompson’s fam. And hug your loved ones tight tonight.', 'My prayers are with UHC\'s CEO Brian Thompson, his family, and team in this tragic time. The chilling detail—etched rounds saying ""deny,"" ""depose,"" ""defend""—is unsettling. After attending numerous Ripple events, I’m grateful for their strong security; some roles demand it. 🙏']"
