Topic,Count,Name,Representation,Representative_Docs
0,368,0_hero_murderer_killer_killed,"['hero', 'murderer', 'killer', 'killed', 'murdering', 'penny', 'ceos', 'justice', 'kill', 'allegedly']","[""Fuck you corpo mouthpiece. It's not strange people support Luigi. I hope your whole family is denied health insurance every time they're sick. That ceo single handedly killed tens of thousands of our fellow citizens, yet bootlicker pos like you is defending him. FK YOU."", '123 People Are Killed By Health Insurance CEOs Denying Health Care EVERY DAY.\n123 People Killed EVERY DAY.\nWe Need More Luigi Mangiones.', ""Fuck you corpo mouthpiece. It's not strange people support Luigi. I hope your whole family is denied health insurance every time they're sick. That ceo single handedly killed tens of thousands of our fellow citizens, yet bootlicker pos like you is defending him.""]"
1,347,1_ceos_executives_ceoâ_deaths,"['ceos', 'executives', 'ceoâ', 'deaths', 'brianthompson', 'killer', 'corporate', 'died', 'killed', 'unitedhealth']","['You would think United Health Care would pay the $50,000 reward. But, they would just ""Deny, Delay and Defend"" #justsaying\n\nðŸ‘\x8f ðŸ‘\x8f ðŸ‘\x8f \n\n #crime #unitedhealthcare', ""Taylor Lorenz slams health insurance industry, says it's no 'wonder why we want these executives dead' after UnitedHealthcare CEO murder"", ""Insurance companies make profits from denying to help people. UnitedHealthcare Group had a 32% claim denial rate in 2023, they've done more than just ruin people's lives, they've killed people. I don't think people who do OF kill thousands of people per year.""]"
2,332,2_deaths_profit_died_rich,"['deaths', 'profit', 'died', 'rich', 'claims', 'reason', 'millions', 'fuck', 'money', 'empathy']","[""I don't believe Brian Thompson deserved to be killed because of a bad experience my family had with an insurance company. I believe he deserved to be killed because he oversaw the mass murder of thousands of Americans.\n\nSome of us have empathy for people beyond our own families."", 'Yes, Brian Thompson was a human being with a family.\n\nHe was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year.\n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? ðŸ¤”', 'Brian Thompson had the blood of thousands of people just like this poor personâ€™s family on his hands. he was just as much a killer as the man who shot him, he did it from behind a desk without ever having to face the people whose lives he was ending.']"
3,245,3_ceos_healthcare_executives_deaths,"['ceos', 'healthcare', 'executives', 'deaths', 'insurance', 'lawsuit', 'fraud', 'killed', 'death', 'antitrust']","['United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference.\nQ3815\n""What happens when people learn the TRUTH?\nWhatâ€¦', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference. \n\nQ3815\n""What happens when people learn the TRUTH?â€¦', 'You\'re insinuating the murder of Brian Thompson in NYC was justified? \n""Health insurance companies are responsible for the deaths of hundreds of thousands of Americans each each year and when denying claims and coverage for people who canâ€™t always afford health insurance costs.""']"
4,131,4_billionaires_killed_trump_sympathy,"['billionaires', 'killed', 'trump', 'sympathy', 'victims', 'rich', 'died', 'corporate', 'profit', 'profitable']","['Right-wingers are pissed that the left is happy a scumbag like Brian Thompson was killed. \n\nThe same people who are also ok with, \n\nTrump, the murder of people in Gaza, the fact Americans are under attack from the ruling class, minorities are at higher risk!\n\nFuck ALL of You!ðŸ–•', 'Nurses spend their lives trying to heal people. So when they say things like:\n\n""Fuck Brian Thompson. I truly do not give a shit he was killed, nor do I have sympathy for his family - they can get fucked too. My patients died while those bitches enjoyed 26 million dollars.""', ""I don't know what these people want from me. I didn't do my happy-dance, I didn't throw a party...wtf do you think I am, anyway?\nLet me make this clear: fuck Brian Thompson. Fuck him and anyone that looks like him. Fuck every CEO that ever lived and if you don't like that, well..""]"
